num. sample,statistic,mean,variance,std dev,interval length
2,avgInterarrivals,2.811,0.042,0.204,2.596
2,avgWaits,7.456,0.425,0.652,8.282
2,avgNumNodes,2.433,0.004,0.064,0.818
2,avgDelays,5.504,0.394,0.627,7.972
2,avgNumQueues,1.172,0.005,0.074,0.941
4,avgInterarrivals,2.715,0.035,0.187,0.344
4,avgWaits,8.585,2.478,1.574,2.892
4,avgNumNodes,2.903,0.305,0.552,1.015
4,avgDelays,6.593,2.365,1.538,2.825
4,avgNumQueues,1.461,0.140,0.375,0.688
8,avgInterarrivals,2.702,0.025,0.159,0.142
8,avgWaits,8.456,1.813,1.346,1.203
8,avgNumNodes,2.890,0.256,0.506,0.452
8,avgDelays,6.443,1.736,1.318,1.178
8,avgNumQueues,1.439,0.105,0.324,0.289
16,avgInterarrivals,2.664,0.019,0.136,0.075
16,avgWaits,8.305,1.097,1.047,0.576
16,avgNumNodes,2.869,0.166,0.407,0.224
16,avgDelays,6.328,0.996,0.998,0.549
16,avgNumQueues,1.428,0.063,0.252,0.139
32,avgInterarrivals,2.664,0.020,0.143,0.052
32,avgWaits,8.386,1.363,1.168,0.428
32,avgNumNodes,2.899,0.201,0.449,0.164
32,avgDelays,6.405,1.347,1.161,0.425
32,avgNumQueues,1.444,0.086,0.293,0.107
64,avgInterarrivals,2.685,0.022,0.149,0.037
64,avgWaits,8.831,3.294,1.815,0.457
64,avgNumNodes,3.033,0.383,0.619,0.156
64,avgDelays,6.822,3.139,1.772,0.446
64,avgNumQueues,1.525,0.161,0.402,0.101
128,avgInterarrivals,2.674,0.025,0.157,0.028
128,avgWaits,8.934,3.055,1.748,0.307
128,avgNumNodes,3.081,0.369,0.608,0.107
128,avgDelays,6.911,2.933,1.713,0.301
128,avgNumQueues,1.552,0.160,0.400,0.070
256,avgInterarrivals,2.679,0.031,0.177,0.022
256,avgWaits,9.023,3.061,1.750,0.216
256,avgNumNodes,3.104,0.385,0.621,0.077
256,avgDelays,6.995,2.956,1.719,0.212
256,avgNumQueues,1.570,0.167,0.409,0.050
512,avgInterarrivals,2.676,0.028,0.168,0.015
512,avgWaits,8.946,2.832,1.683,0.146
512,avgNumNodes,3.082,0.372,0.610,0.053
512,avgDelays,6.926,2.746,1.657,0.144
512,avgNumQueues,1.558,0.160,0.400,0.035
1024,avgInterarrivals,2.676,0.028,0.167,0.010
1024,avgWaits,8.947,2.684,1.638,0.101
1024,avgNumNodes,3.082,0.356,0.597,0.037
1024,avgDelays,6.926,2.596,1.611,0.099
1024,avgNumQueues,1.558,0.153,0.391,0.024
