num. sample,statistic,mean,variance,std dev,interval length
2,avgInterarrivals,5.215,0.651,0.807,10.253
2,avgWaits,3.312,0.023,0.153,1.945
2,avgNumNodes,0.613,0.022,0.147,1.872
2,avgDelays,-0.196,0.005,0.074,0.937
2,avgNumQueues,-0.000,0.000,0.001,0.007
4,avgInterarrivals,5.457,0.394,0.627,1.153
4,avgWaits,3.625,0.116,0.340,0.625
4,avgNumNodes,0.608,0.012,0.109,0.201
4,avgDelays,-0.148,0.006,0.077,0.142
4,avgNumQueues,-0.000,0.000,0.000,0.001
8,avgInterarrivals,5.880,0.808,0.899,0.803
8,avgWaits,3.447,0.308,0.555,0.496
8,avgNumNodes,0.555,0.019,0.139,0.124
8,avgDelays,-0.051,0.026,0.162,0.145
8,avgNumQueues,0.001,0.000,0.002,0.002
16,avgInterarrivals,5.871,0.872,0.934,0.514
16,avgWaits,3.283,0.348,0.590,0.325
16,avgNumNodes,0.520,0.018,0.133,0.073
16,avgDelays,-0.062,0.017,0.129,0.071
16,avgNumQueues,0.001,0.000,0.002,0.001
32,avgInterarrivals,5.322,0.993,0.997,0.365
32,avgWaits,3.194,0.357,0.598,0.219
32,avgNumNodes,0.576,0.030,0.175,0.064
32,avgDelays,0.030,0.055,0.235,0.086
32,avgNumQueues,0.002,0.000,0.005,0.002
64,avgInterarrivals,5.436,0.898,0.948,0.239
64,avgWaits,3.165,0.377,0.614,0.155
64,avgNumNodes,0.559,0.026,0.160,0.040
64,avgDelays,0.006,0.042,0.205,0.052
64,avgNumQueues,0.002,0.000,0.004,0.001
128,avgInterarrivals,5.441,1.035,1.017,0.179
128,avgWaits,3.194,0.555,0.745,0.131
128,avgNumNodes,0.568,0.034,0.185,0.033
128,avgDelays,0.013,0.070,0.264,0.046
128,avgNumQueues,0.002,0.000,0.005,0.001
256,avgInterarrivals,5.438,1.085,1.042,0.128
256,avgWaits,3.158,0.628,0.793,0.098
256,avgNumNodes,0.562,0.034,0.185,0.023
256,avgDelays,0.014,0.086,0.293,0.036
256,avgNumQueues,0.002,0.000,0.005,0.001
512,avgInterarrivals,5.436,1.085,1.041,0.091
512,avgWaits,3.189,0.681,0.826,0.072
512,avgNumNodes,0.570,0.038,0.194,0.017
512,avgDelays,0.043,0.091,0.302,0.026
512,avgNumQueues,0.003,0.000,0.006,0.000
1024,avgInterarrivals,5.428,1.012,1.006,0.062
1024,avgWaits,3.204,0.636,0.797,0.049
1024,avgNumNodes,0.571,0.033,0.183,0.011
1024,avgDelays,0.027,0.079,0.281,0.017
1024,avgNumQueues,0.002,0.000,0.005,0.000
