num. sample,statistic,mean,variance,std dev,w (interval length/2)
2,avgInterarrivals,2.776,0.075,0.274,3.487
2,avgWaits,2.283,0.004,0.065,0.822
2,avgNumNodes,0.770,0.009,0.095,1.204
2,avgDelays,0.336,0.007,0.084,1.067
2,avgNumQueues,0.121,0.002,0.040,0.503
2,utilization_server1,0.314,0.001,0.027,0.344
2,service_server1,1.712,0.000,0.020,0.257
2,share_server1,0.549,0.000,0.008,0.100
2,utilization_server2,0.343,0.001,0.029,0.367
2,service_server2,2.228,0.006,0.075,0.948
2,share_server2,0.464,0.000,0.009,0.115
4,avgInterarrivals,2.744,0.067,0.259,0.476
4,avgWaits,2.464,0.084,0.290,0.533
4,avgNumNodes,0.841,0.028,0.167,0.307
4,avgDelays,0.414,0.037,0.191,0.352
4,avgNumQueues,0.150,0.007,0.081,0.149
4,utilization_server1,0.346,0.003,0.052,0.096
4,service_server1,1.982,0.079,0.280,0.515
4,share_server1,0.519,0.001,0.030,0.055
4,utilization_server2,0.353,0.001,0.038,0.070
4,service_server2,2.147,0.011,0.107,0.196
4,share_server2,0.492,0.001,0.029,0.053
8,avgInterarrivals,2.650,0.049,0.222,0.198
8,avgWaits,2.640,0.128,0.358,0.320
8,avgNumNodes,0.954,0.044,0.211,0.188
8,avgDelays,0.560,0.096,0.310,0.277
8,avgNumQueues,0.218,0.020,0.140,0.125
8,utilization_server1,0.376,0.002,0.049,0.043
8,service_server1,2.058,0.062,0.248,0.222
8,share_server1,0.518,0.001,0.029,0.026
8,utilization_server2,0.368,0.001,0.038,0.034
8,service_server2,2.125,0.023,0.152,0.136
8,share_server2,0.494,0.001,0.028,0.025
16,avgInterarrivals,2.659,0.033,0.181,0.099
16,avgWaits,2.512,0.105,0.324,0.178
16,avgNumNodes,0.890,0.032,0.178,0.098
16,avgDelays,0.482,0.068,0.260,0.143
16,avgNumQueues,0.181,0.013,0.115,0.063
16,utilization_server1,0.364,0.002,0.040,0.022
16,service_server1,2.022,0.046,0.214,0.118
16,share_server1,0.516,0.001,0.025,0.014
16,utilization_server2,0.354,0.002,0.041,0.023
16,service_server2,2.057,0.039,0.197,0.108
16,share_server2,0.495,0.001,0.025,0.014
32,avgInterarrivals,2.646,0.032,0.178,0.065
32,avgWaits,2.503,0.119,0.345,0.126
32,avgNumNodes,0.892,0.031,0.176,0.064
32,avgDelays,0.488,0.065,0.254,0.093
32,avgNumQueues,0.185,0.012,0.108,0.040
32,utilization_server1,0.363,0.002,0.042,0.015
32,service_server1,2.042,0.043,0.207,0.076
32,share_server1,0.506,0.001,0.026,0.009
32,utilization_server2,0.354,0.002,0.046,0.017
32,service_server2,2.004,0.046,0.213,0.078
32,share_server2,0.505,0.001,0.025,0.009
64,avgInterarrivals,2.665,0.029,0.171,0.043
64,avgWaits,2.449,0.150,0.387,0.098
64,avgNumNodes,0.862,0.030,0.175,0.044
64,avgDelays,0.458,0.076,0.275,0.069
64,avgNumQueues,0.170,0.012,0.111,0.028
64,utilization_server1,0.353,0.002,0.042,0.010
64,service_server1,2.001,0.049,0.221,0.056
64,share_server1,0.510,0.001,0.028,0.007
64,utilization_server2,0.348,0.002,0.042,0.011
64,service_server2,2.003,0.042,0.204,0.051
64,share_server2,0.501,0.001,0.028,0.007
128,avgInterarrivals,2.672,0.033,0.181,0.032
128,avgWaits,2.492,0.157,0.396,0.070
128,avgNumNodes,0.873,0.032,0.180,0.032
128,avgDelays,0.489,0.091,0.302,0.053
128,avgNumQueues,0.180,0.015,0.122,0.021
128,utilization_server1,0.353,0.002,0.043,0.007
128,service_server1,2.028,0.053,0.230,0.040
128,share_server1,0.506,0.001,0.029,0.005
128,utilization_server2,0.348,0.002,0.041,0.007
128,service_server2,2.002,0.043,0.208,0.037
128,share_server2,0.505,0.001,0.029,0.005
256,avgInterarrivals,2.671,0.039,0.196,0.024
256,avgWaits,2.516,0.152,0.390,0.048
256,avgNumNodes,0.885,0.036,0.190,0.023
256,avgDelays,0.509,0.092,0.304,0.038
256,avgNumQueues,0.190,0.017,0.129,0.016
256,utilization_server1,0.354,0.002,0.043,0.005
256,service_server1,2.028,0.052,0.229,0.028
256,share_server1,0.507,0.001,0.028,0.003
256,utilization_server2,0.350,0.002,0.042,0.005
256,service_server2,2.010,0.039,0.198,0.024
256,share_server2,0.504,0.001,0.028,0.003
512,avgInterarrivals,2.668,0.036,0.191,0.017
512,avgWaits,2.496,0.138,0.372,0.032
512,avgNumNodes,0.877,0.032,0.178,0.015
512,avgDelays,0.493,0.081,0.285,0.025
512,avgNumQueues,0.183,0.014,0.119,0.010
512,utilization_server1,0.353,0.002,0.042,0.004
512,service_server1,2.019,0.049,0.221,0.019
512,share_server1,0.507,0.001,0.026,0.002
512,utilization_server2,0.349,0.002,0.042,0.004
512,service_server2,2.007,0.042,0.204,0.018
512,share_server2,0.504,0.001,0.026,0.002
1024,avgInterarrivals,2.667,0.036,0.189,0.012
1024,avgWaits,2.491,0.147,0.384,0.024
1024,avgNumNodes,0.875,0.033,0.182,0.011
1024,avgDelays,0.492,0.090,0.300,0.018
1024,avgNumQueues,0.183,0.016,0.125,0.008
1024,utilization_server1,0.353,0.002,0.041,0.003
1024,service_server1,2.010,0.044,0.210,0.013
1024,share_server1,0.508,0.001,0.026,0.002
1024,utilization_server2,0.348,0.002,0.042,0.003
1024,service_server2,2.008,0.044,0.211,0.013
1024,share_server2,0.503,0.001,0.026,0.002
