num. sample,statistic,mean,variance,std dev,w (interval length/2)
2,avgInterarrivals,5.331,0.783,0.885,11.245
2,avgWaits,3.264,0.040,0.199,2.528
2,avgNumNodes,0.612,0.024,0.155,1.973
2,avgDelays,0.060,0.000,0.007,0.085
2,avgNumQueues,0.013,0.000,0.001,0.014
2,utilization_server4,0.454,0.004,0.060,0.758
2,service_server4,3.062,0.021,0.144,1.834
2,share_server4,0.817,0.001,0.023,0.290
2,utilization_server5,0.200,0.010,0.097,1.239
2,service_server5,3.635,1.182,1.087,13.816
2,share_server5,0.267,0.000,0.016,0.202
4,avgInterarrivals,5.515,0.434,0.659,1.210
4,avgWaits,3.564,0.114,0.338,0.620
4,avgNumNodes,0.606,0.013,0.115,0.211
4,avgDelays,0.054,0.000,0.015,0.027
4,avgNumQueues,0.010,0.000,0.003,0.006
4,utilization_server4,0.468,0.002,0.048,0.088
4,service_server4,3.603,0.305,0.552,1.014
4,share_server4,0.787,0.001,0.035,0.064
4,utilization_server5,0.167,0.006,0.079,0.145
4,service_server5,3.164,1.006,1.003,1.843
4,share_server5,0.282,0.000,0.019,0.035
8,avgInterarrivals,5.945,0.937,0.968,0.865
8,avgWaits,3.428,0.283,0.532,0.476
8,avgNumNodes,0.559,0.019,0.137,0.122
8,avgDelays,0.123,0.027,0.166,0.148
8,avgNumQueues,0.022,0.001,0.030,0.026
8,utilization_server4,0.416,0.005,0.069,0.062
8,service_server4,3.318,0.342,0.585,0.523
8,share_server4,0.791,0.001,0.037,0.033
8,utilization_server5,0.155,0.006,0.080,0.072
8,service_server5,3.142,0.965,0.983,0.878
8,share_server5,0.278,0.001,0.037,0.033
16,avgInterarrivals,5.965,1.141,1.068,0.588
16,avgWaits,3.283,0.356,0.596,0.328
16,avgNumNodes,0.525,0.018,0.134,0.074
16,avgDelays,0.101,0.017,0.132,0.072
16,avgNumQueues,0.018,0.001,0.023,0.013
16,utilization_server4,0.400,0.008,0.087,0.048
16,service_server4,3.319,0.565,0.752,0.414
16,share_server4,0.774,0.004,0.066,0.037
16,utilization_server5,0.140,0.005,0.073,0.040
16,service_server5,2.728,1.185,1.089,0.599
16,share_server5,0.295,0.006,0.075,0.041
32,avgInterarrivals,5.385,1.181,1.087,0.398
32,avgWaits,3.200,0.369,0.607,0.222
32,avgNumNodes,0.583,0.032,0.179,0.065
32,avgDelays,0.180,0.051,0.227,0.083
32,avgNumQueues,0.039,0.003,0.056,0.020
32,utilization_server4,0.407,0.007,0.082,0.030
32,service_server4,3.042,0.474,0.688,0.252
32,share_server4,0.767,0.006,0.076,0.028
32,utilization_server5,0.174,0.012,0.111,0.041
32,service_server5,2.852,0.874,0.935,0.342
32,share_server5,0.299,0.007,0.086,0.032
64,avgInterarrivals,5.497,1.067,1.033,0.260
64,avgWaits,3.181,0.389,0.624,0.157
64,avgNumNodes,0.569,0.027,0.164,0.041
64,avgDelays,0.160,0.043,0.208,0.052
64,avgNumQueues,0.033,0.002,0.047,0.012
64,utilization_server4,0.407,0.007,0.083,0.021
64,service_server4,3.089,0.552,0.743,0.187
64,share_server4,0.769,0.007,0.084,0.021
64,utilization_server5,0.164,0.009,0.094,0.024
64,service_server5,2.847,1.242,1.115,0.281
64,share_server5,0.296,0.008,0.089,0.023
128,avgInterarrivals,5.503,1.181,1.087,0.191
128,avgWaits,3.204,0.558,0.747,0.131
128,avgNumNodes,0.577,0.035,0.188,0.033
128,avgDelays,0.173,0.079,0.281,0.049
128,avgNumQueues,0.035,0.004,0.065,0.011
128,utilization_server4,0.406,0.009,0.093,0.016
128,service_server4,3.092,0.553,0.744,0.131
128,share_server4,0.761,0.007,0.082,0.014
128,utilization_server5,0.171,0.009,0.096,0.017
128,service_server5,2.883,1.308,1.144,0.201
128,share_server5,0.303,0.008,0.087,0.015
256,avgInterarrivals,5.493,1.159,1.076,0.133
256,avgWaits,3.168,0.645,0.803,0.099
256,avgNumNodes,0.570,0.036,0.189,0.023
256,avgDelays,0.174,0.102,0.319,0.039
256,avgNumQueues,0.035,0.004,0.066,0.008
256,utilization_server4,0.403,0.010,0.099,0.012
256,service_server4,3.046,0.623,0.789,0.097
256,share_server4,0.766,0.007,0.084,0.010
256,utilization_server5,0.169,0.010,0.098,0.012
256,service_server5,2.930,1.738,1.318,0.163
256,share_server5,0.297,0.008,0.091,0.011
512,avgInterarrivals,5.490,1.161,1.077,0.094
512,avgWaits,3.199,0.697,0.835,0.073
512,avgNumNodes,0.578,0.039,0.197,0.017
512,avgDelays,0.201,0.106,0.325,0.028
512,avgNumQueues,0.040,0.005,0.068,0.006
512,utilization_server4,0.402,0.010,0.100,0.009
512,service_server4,3.038,0.596,0.772,0.067
512,share_server4,0.763,0.007,0.081,0.007
512,utilization_server5,0.171,0.009,0.097,0.008
512,service_server5,2.912,1.703,1.305,0.113
512,share_server5,0.299,0.008,0.087,0.008
1024,avgInterarrivals,5.477,1.088,1.043,0.064
1024,avgWaits,3.212,0.646,0.804,0.049
1024,avgNumNodes,0.579,0.034,0.185,0.011
1024,avgDelays,0.191,0.091,0.301,0.018
1024,avgNumQueues,0.038,0.004,0.062,0.004
1024,utilization_server4,0.406,0.010,0.102,0.006
1024,service_server4,3.070,0.617,0.786,0.048
1024,share_server4,0.763,0.007,0.084,0.005
1024,utilization_server5,0.172,0.008,0.092,0.006
1024,service_server5,2.928,1.595,1.263,0.077
1024,share_server5,0.300,0.008,0.090,0.006
