num. sample,statistic,mean,variance,std dev,w (interval length/2)
2,avgInterarrivals,9.995,0.010,0.099,1.261
2,avgWaits,1.887,0.189,0.434,5.518
2,avgNumNodes,0.172,0.001,0.037,0.472
2,avgDelays,0.001,0.000,0.001,0.018
2,avgNumQueues,0.000,0.000,0.000,0.002
2,utilization_server1,0.103,0.001,0.026,0.334
2,service_server1,2.081,0.214,0.462,5.875
2,share_server1,0.517,0.000,0.015,0.184
2,utilization_server2,0.071,0.000,0.011,0.144
2,service_server2,1.676,0.147,0.383,4.871
2,share_server2,0.490,0.000,0.013,0.163
4,avgInterarrivals,10.342,0.165,0.406,0.746
4,avgWaits,1.962,0.108,0.329,0.604
4,avgNumNodes,0.173,0.001,0.026,0.048
4,avgDelays,0.029,0.002,0.049,0.090
4,avgNumQueues,0.003,0.000,0.005,0.009
4,utilization_server1,0.098,0.000,0.019,0.035
4,service_server1,2.112,0.120,0.346,0.635
4,share_server1,0.516,0.000,0.013,0.024
4,utilization_server2,0.074,0.000,0.010,0.019
4,service_server2,1.739,0.078,0.278,0.512
4,share_server2,0.492,0.000,0.012,0.022
8,avgInterarrivals,9.536,2.116,1.455,1.300
8,avgWaits,1.954,0.114,0.338,0.302
8,avgNumNodes,0.196,0.004,0.060,0.054
8,avgDelays,0.039,0.004,0.063,0.057
8,avgNumQueues,0.005,0.000,0.008,0.007
8,utilization_server1,0.103,0.001,0.029,0.026
8,service_server1,2.032,0.173,0.416,0.371
8,share_server1,0.508,0.001,0.031,0.028
8,utilization_server2,0.090,0.001,0.029,0.026
8,service_server2,1.789,0.050,0.224,0.200
8,share_server2,0.500,0.001,0.034,0.030
16,avgInterarrivals,9.348,1.807,1.344,0.740
16,avgWaits,2.074,0.112,0.335,0.185
16,avgNumNodes,0.209,0.003,0.051,0.028
16,avgDelays,0.055,0.005,0.068,0.038
16,avgNumQueues,0.006,0.000,0.008,0.004
16,utilization_server1,0.106,0.001,0.024,0.013
16,service_server1,2.082,0.162,0.402,0.221
16,share_server1,0.503,0.001,0.026,0.014
16,utilization_server2,0.099,0.001,0.029,0.016
16,service_server2,1.946,0.108,0.329,0.181
16,share_server2,0.506,0.001,0.028,0.015
32,avgInterarrivals,9.431,1.382,1.175,0.431
32,avgWaits,2.040,0.094,0.306,0.112
32,avgNumNodes,0.203,0.002,0.045,0.016
32,avgDelays,0.051,0.004,0.060,0.022
32,avgNumQueues,0.005,0.000,0.007,0.002
32,utilization_server1,0.103,0.001,0.024,0.009
32,service_server1,2.038,0.151,0.389,0.143
32,share_server1,0.505,0.001,0.026,0.010
32,utilization_server2,0.097,0.001,0.024,0.009
32,service_server2,1.938,0.114,0.338,0.124
32,share_server2,0.503,0.001,0.028,0.010
64,avgInterarrivals,9.239,1.369,1.170,0.295
64,avgWaits,2.045,0.086,0.294,0.074
64,avgNumNodes,0.206,0.002,0.044,0.011
64,avgDelays,0.068,0.006,0.077,0.019
64,avgNumQueues,0.007,0.000,0.007,0.002
64,utilization_server1,0.103,0.001,0.023,0.006
64,service_server1,1.999,0.139,0.372,0.094
64,share_server1,0.507,0.001,0.026,0.007
64,utilization_server2,0.100,0.001,0.026,0.006
64,service_server2,1.961,0.136,0.369,0.093
64,share_server2,0.501,0.001,0.027,0.007
128,avgInterarrivals,9.118,1.438,1.199,0.211
128,avgWaits,2.036,0.092,0.303,0.053
128,avgNumNodes,0.208,0.002,0.041,0.007
128,avgDelays,0.063,0.006,0.075,0.013
128,avgNumQueues,0.006,0.000,0.007,0.001
128,utilization_server1,0.105,0.001,0.023,0.004
128,service_server1,1.986,0.171,0.414,0.073
128,share_server1,0.512,0.001,0.028,0.005
128,utilization_server2,0.100,0.001,0.023,0.004
128,service_server2,1.974,0.149,0.386,0.068
128,share_server2,0.496,0.001,0.028,0.005
256,avgInterarrivals,9.254,1.454,1.206,0.149
256,avgWaits,2.047,0.100,0.316,0.039
256,avgNumNodes,0.206,0.002,0.044,0.005
256,avgDelays,0.065,0.006,0.078,0.010
256,avgNumQueues,0.006,0.000,0.008,0.001
256,utilization_server1,0.103,0.001,0.024,0.003
256,service_server1,1.978,0.164,0.405,0.050
256,share_server1,0.513,0.001,0.028,0.003
256,utilization_server2,0.100,0.001,0.024,0.003
256,service_server2,2.002,0.166,0.407,0.050
256,share_server2,0.496,0.001,0.028,0.003
512,avgInterarrivals,9.226,1.722,1.312,0.114
512,avgWaits,2.074,0.099,0.315,0.027
512,avgNumNodes,0.211,0.002,0.048,0.004
512,avgDelays,0.069,0.007,0.084,0.007
512,avgNumQueues,0.007,0.000,0.010,0.001
512,utilization_server1,0.105,0.001,0.026,0.002
512,service_server1,2.001,0.175,0.418,0.036
512,share_server1,0.515,0.001,0.028,0.002
512,utilization_server2,0.102,0.001,0.025,0.002
512,service_server2,2.027,0.168,0.409,0.036
512,share_server2,0.494,0.001,0.028,0.002
1024,avgInterarrivals,9.223,1.813,1.347,0.083
1024,avgWaits,2.079,0.107,0.328,0.020
1024,avgNumNodes,0.213,0.003,0.052,0.003
1024,avgDelays,0.073,0.010,0.100,0.006
1024,avgNumQueues,0.008,0.000,0.012,0.001
1024,utilization_server1,0.106,0.001,0.027,0.002
1024,service_server1,2.004,0.180,0.424,0.026
1024,share_server1,0.515,0.001,0.029,0.002
1024,utilization_server2,0.102,0.001,0.026,0.002
1024,service_server2,2.026,0.171,0.413,0.025
1024,share_server2,0.494,0.001,0.029,0.002
