num. sample,statistic,mean,variance,std dev,w (interval length/2)
2,avgInterarrivals,11.147,0.013,0.115,1.464
2,avgWaits,2.815,1.603,1.266,16.087
2,avgNumNodes,0.217,0.008,0.090,1.137
2,avgDelays,0.000,0.000,0.000,0.000
2,avgNumQueues,0.000,0.000,0.000,0.000
2,utilization_server4,0.212,0.007,0.084,1.070
2,service_server4,3.084,2.146,1.465,18.614
2,share_server4,0.917,0.003,0.051,0.650
2,utilization_server5,0.011,0.000,0.010,0.128
2,service_server5,0.886,0.443,0.665,8.456
2,share_server5,0.110,0.004,0.064,0.815
4,avgInterarrivals,12.718,5.949,2.439,4.481
4,avgWaits,2.778,0.984,0.992,1.823
4,avgNumNodes,0.198,0.008,0.088,0.161
4,avgDelays,0.000,0.000,0.000,0.000
4,avgNumQueues,0.000,0.000,0.000,0.000
4,utilization_server4,0.193,0.007,0.083,0.152
4,service_server4,3.075,1.219,1.104,2.028
4,share_server4,0.896,0.002,0.043,0.078
4,utilization_server5,0.011,0.000,0.009,0.016
4,service_server5,0.788,0.301,0.548,1.008
4,share_server5,0.140,0.003,0.055,0.101
8,avgInterarrivals,14.617,12.037,3.469,3.101
8,avgWaits,3.274,1.287,1.134,1.014
8,avgNumNodes,0.176,0.005,0.070,0.063
8,avgDelays,0.000,0.000,0.000,0.000
8,avgNumQueues,0.000,0.000,0.000,0.000
8,utilization_server4,0.172,0.004,0.067,0.060
8,service_server4,3.464,1.269,1.127,1.007
8,share_server4,0.920,0.004,0.065,0.058
8,utilization_server5,0.010,0.000,0.007,0.007
8,service_server5,0.847,0.300,0.548,0.490
8,share_server5,0.114,0.005,0.070,0.062
16,avgInterarrivals,15.377,16.581,4.072,2.241
16,avgWaits,3.330,1.368,1.170,0.644
16,avgNumNodes,0.178,0.008,0.092,0.051
16,avgDelays,-0.000,0.000,0.000,0.000
16,avgNumQueues,-0.000,0.000,0.000,0.000
16,utilization_server4,0.149,0.005,0.068,0.037
16,service_server4,3.194,0.917,0.958,0.527
16,share_server4,0.902,0.008,0.089,0.049
16,utilization_server5,0.035,0.004,0.062,0.034
16,service_server5,2.035,7.299,2.702,1.487
16,share_server5,0.136,0.009,0.095,0.052
32,avgInterarrivals,14.923,13.148,3.626,1.328
32,avgWaits,3.172,1.451,1.205,0.441
32,avgNumNodes,0.172,0.007,0.086,0.032
32,avgDelays,-0.000,0.000,0.000,0.000
32,avgNumQueues,-0.000,0.000,0.000,0.000
32,utilization_server4,0.153,0.005,0.070,0.026
32,service_server4,3.062,1.110,1.054,0.386
32,share_server4,0.942,0.007,0.083,0.030
32,utilization_server5,0.025,0.002,0.048,0.018
32,service_server5,1.817,7.534,2.745,1.005
32,share_server5,0.095,0.007,0.086,0.031
64,avgInterarrivals,15.270,13.508,3.675,0.925
64,avgWaits,3.263,2.913,1.707,0.430
64,avgNumNodes,0.161,0.007,0.084,0.021
64,avgDelays,0.004,0.001,0.024,0.006
64,avgNumQueues,0.000,0.000,0.002,0.000
64,utilization_server4,0.143,0.005,0.072,0.018
64,service_server4,3.204,3.091,1.758,0.443
64,share_server4,0.933,0.008,0.091,0.023
64,utilization_server5,0.023,0.002,0.044,0.011
64,service_server5,1.693,6.207,2.491,0.627
64,share_server5,0.100,0.009,0.095,0.024
128,avgInterarrivals,14.591,14.299,3.781,0.664
128,avgWaits,3.091,1.997,1.413,0.248
128,avgNumNodes,0.169,0.007,0.085,0.015
128,avgDelays,0.010,0.002,0.044,0.008
128,avgNumQueues,0.001,0.000,0.004,0.001
128,utilization_server4,0.151,0.005,0.071,0.013
128,service_server4,3.065,2.096,1.448,0.254
128,share_server4,0.932,0.009,0.094,0.016
128,utilization_server5,0.023,0.001,0.039,0.007
128,service_server5,1.599,4.613,2.148,0.377
128,share_server5,0.103,0.010,0.098,0.017
256,avgInterarrivals,15.034,16.105,4.013,0.495
256,avgWaits,3.080,1.817,1.348,0.166
256,avgNumNodes,0.164,0.007,0.081,0.010
256,avgDelays,0.006,0.001,0.032,0.004
256,avgNumQueues,0.000,0.000,0.003,0.000
256,utilization_server4,0.150,0.005,0.071,0.009
256,service_server4,3.064,1.911,1.383,0.170
256,share_server4,0.942,0.008,0.089,0.011
256,utilization_server5,0.019,0.001,0.033,0.004
256,service_server5,1.447,4.020,2.005,0.247
256,share_server5,0.092,0.009,0.094,0.012
512,avgInterarrivals,15.068,16.768,4.095,0.356
512,avgWaits,3.081,1.961,1.400,0.122
512,avgNumNodes,0.164,0.006,0.080,0.007
512,avgDelays,0.008,0.003,0.053,0.005
512,avgNumQueues,0.001,0.000,0.004,0.000
512,utilization_server4,0.150,0.005,0.070,0.006
512,service_server4,3.085,2.082,1.443,0.125
512,share_server4,0.942,0.008,0.089,0.008
512,utilization_server5,0.019,0.001,0.032,0.003
512,service_server5,1.455,3.676,1.917,0.167
512,share_server5,0.094,0.009,0.094,0.008
1024,avgInterarrivals,14.914,17.133,4.139,0.254
1024,avgWaits,3.044,1.851,1.360,0.083
1024,avgNumNodes,0.165,0.007,0.083,0.005
1024,avgDelays,0.011,0.003,0.059,0.004
1024,avgNumQueues,0.001,0.000,0.004,0.000
1024,utilization_server4,0.152,0.005,0.073,0.004
1024,service_server4,3.056,2.024,1.423,0.087
1024,share_server4,0.943,0.008,0.090,0.006
1024,utilization_server5,0.018,0.001,0.031,0.002
1024,service_server5,1.379,3.321,1.822,0.112
1024,share_server5,0.093,0.009,0.095,0.006
