num. sample,statistic,mean,variance,std dev,w (interval length/2)
2,avgInterarrivals,2.773,0.062,0.249,3.165
2,avgWaits,2.127,0.000,0.022,0.275
2,avgNumNodes,0.829,0.003,0.050,0.639
2,avgDelays,0.030,0.000,0.005,0.057
2,avgNumQueues,0.013,0.000,0.002,0.031
2,utilization_server1,0.297,0.001,0.030,0.386
2,service_server1,2.235,0.011,0.107,1.355
2,share_server1,0.342,0.000,0.002,0.028
2,utilization_server2,0.274,0.000,0.000,0.001
2,service_server2,2.034,0.052,0.228,2.900
2,share_server2,0.359,0.000,0.014,0.177
2,utilization_server3,0.277,0.000,0.011,0.134
2,service_server3,2.068,0.002,0.047,0.592
2,share_server3,0.335,0.000,0.011,0.141
4,avgInterarrivals,2.844,0.040,0.199,0.366
4,avgWaits,2.079,0.004,0.063,0.116
4,avgNumNodes,0.817,0.006,0.075,0.137
4,avgDelays,0.033,0.000,0.015,0.028
4,avgNumQueues,0.015,0.000,0.009,0.016
4,utilization_server1,0.292,0.002,0.042,0.077
4,service_server1,2.138,0.025,0.157,0.289
4,share_server1,0.349,0.000,0.009,0.016
4,utilization_server2,0.260,0.000,0.016,0.030
4,service_server2,1.921,0.039,0.198,0.365
4,share_server2,0.351,0.000,0.013,0.023
4,utilization_server3,0.278,0.000,0.017,0.031
4,service_server3,2.098,0.002,0.045,0.083
4,share_server3,0.332,0.000,0.009,0.017
8,avgInterarrivals,2.863,0.041,0.203,0.181
8,avgWaits,2.145,0.016,0.127,0.113
8,avgNumNodes,0.895,0.015,0.122,0.109
8,avgDelays,0.072,0.007,0.081,0.072
8,avgNumQueues,0.037,0.002,0.047,0.042
8,utilization_server1,0.308,0.001,0.038,0.034
8,service_server1,2.214,0.084,0.290,0.260
8,share_server1,0.341,0.000,0.019,0.017
8,utilization_server2,0.284,0.001,0.034,0.031
8,service_server2,1.998,0.032,0.178,0.159
8,share_server2,0.353,0.000,0.015,0.014
8,utilization_server3,0.293,0.001,0.024,0.022
8,service_server3,2.077,0.007,0.087,0.077
8,share_server3,0.339,0.000,0.013,0.012
16,avgInterarrivals,2.822,0.053,0.230,0.127
16,avgWaits,2.077,0.020,0.140,0.077
16,avgNumNodes,0.860,0.012,0.109,0.060
16,avgDelays,0.055,0.004,0.061,0.034
16,avgNumQueues,0.027,0.001,0.036,0.020
16,utilization_server1,0.302,0.001,0.031,0.017
16,service_server1,2.142,0.078,0.278,0.153
16,share_server1,0.347,0.000,0.019,0.011
