num. sample,statistic,mean,variance,std dev,w (interval length/2)
2,avgInterarrivals,2.190,0.009,0.095,1.206
2,avgWaits,2.443,0.014,0.120,1.523
2,avgNumNodes,1.143,0.011,0.104,1.327
2,avgDelays,0.411,0.003,0.052,0.656
2,avgNumQueues,0.198,0.001,0.030,0.385
2,utilization_server1,0.503,0.003,0.055,0.696
2,service_server1,2.015,0.058,0.242,3.071
2,share_server1,0.539,0.001,0.031,0.390
2,utilization_server2,0.469,0.000,0.021,0.267
2,service_server2,2.069,0.015,0.124,1.581
2,share_server2,0.492,0.001,0.030,0.382
4,avgInterarrivals,2.119,0.010,0.098,0.180
4,avgWaits,2.671,0.137,0.370,0.680
4,avgNumNodes,1.312,0.056,0.236,0.434
4,avgDelays,0.623,0.081,0.284,0.523
4,avgNumQueues,0.318,0.025,0.160,0.293
4,utilization_server1,0.522,0.003,0.057,0.104
4,service_server1,2.075,0.036,0.191,0.351
4,share_server1,0.520,0.001,0.035,0.064
4,utilization_server2,0.499,0.001,0.036,0.066
4,service_server2,2.035,0.027,0.166,0.304
4,share_server2,0.510,0.001,0.034,0.062
8,avgInterarrivals,2.127,0.008,0.089,0.080
8,avgWaits,2.718,0.078,0.280,0.250
8,avgNumNodes,1.342,0.037,0.192,0.171
8,avgDelays,0.672,0.057,0.238,0.213
8,avgNumQueues,0.344,0.019,0.140,0.125
8,utilization_server1,0.511,0.002,0.044,0.039
8,service_server1,2.022,0.026,0.162,0.145
8,share_server1,0.522,0.001,0.033,0.029
8,utilization_server2,0.516,0.001,0.032,0.028
8,service_server2,2.101,0.043,0.206,0.184
8,share_server2,0.508,0.001,0.033,0.029
16,avgInterarrivals,2.061,0.014,0.119,0.065
16,avgWaits,2.921,0.540,0.735,0.404
16,avgNumNodes,1.504,0.192,0.438,0.241
16,avgDelays,0.897,0.481,0.694,0.382
16,avgNumQueues,0.490,0.167,0.408,0.225
16,utilization_server1,0.519,0.001,0.036,0.020
16,service_server1,1.980,0.021,0.143,0.079
16,share_server1,0.526,0.001,0.026,0.014
16,utilization_server2,0.523,0.001,0.033,0.018
16,service_server2,2.087,0.025,0.158,0.087
16,share_server2,0.503,0.001,0.026,0.015
32,avgInterarrivals,2.088,0.013,0.115,0.042
32,avgWaits,2.711,0.391,0.625,0.229
32,avgNumNodes,1.377,0.139,0.373,0.137
32,avgDelays,0.738,0.319,0.564,0.207
32,avgNumQueues,0.398,0.108,0.329,0.121
32,utilization_server1,0.505,0.002,0.040,0.015
32,service_server1,1.973,0.023,0.153,0.056
32,share_server1,0.520,0.001,0.028,0.010
32,utilization_server2,0.502,0.002,0.044,0.016
32,service_server2,2.000,0.032,0.178,0.065
32,share_server2,0.509,0.001,0.029,0.011
64,avgInterarrivals,2.133,0.017,0.130,0.033
64,avgWaits,2.776,0.366,0.605,0.152
64,avgNumNodes,1.384,0.124,0.352,0.089
64,avgDelays,0.773,0.293,0.542,0.136
64,avgNumQueues,0.407,0.095,0.308,0.077
64,utilization_server1,0.502,0.002,0.042,0.010
64,service_server1,2.002,0.038,0.196,0.049
64,share_server1,0.520,0.001,0.026,0.007
64,utilization_server2,0.502,0.002,0.043,0.011
64,service_server2,2.036,0.034,0.184,0.046
64,share_server2,0.509,0.001,0.026,0.007
128,avgInterarrivals,2.129,0.019,0.139,0.024
128,avgWaits,2.751,0.235,0.485,0.085
128,avgNumNodes,1.376,0.083,0.288,0.051
128,avgDelays,0.745,0.186,0.431,0.076
128,avgNumQueues,0.392,0.061,0.246,0.043
128,utilization_server1,0.507,0.002,0.041,0.007
128,service_server1,2.011,0.036,0.191,0.033
128,share_server1,0.519,0.001,0.024,0.004
128,utilization_server2,0.505,0.002,0.041,0.007
128,service_server2,2.031,0.031,0.176,0.031
128,share_server2,0.509,0.001,0.025,0.004
256,avgInterarrivals,2.120,0.021,0.145,0.018
256,avgWaits,2.773,0.224,0.473,0.058
256,avgNumNodes,1.392,0.088,0.296,0.036
256,avgDelays,0.760,0.169,0.412,0.051
256,avgNumQueues,0.402,0.058,0.241,0.030
256,utilization_server1,0.511,0.002,0.044,0.005
256,service_server1,2.017,0.032,0.180,0.022
256,share_server1,0.520,0.001,0.026,0.003
256,utilization_server2,0.507,0.002,0.046,0.006
256,service_server2,2.044,0.041,0.202,0.025
256,share_server2,0.509,0.001,0.026,0.003
512,avgInterarrivals,2.120,0.023,0.152,0.013
512,avgWaits,2.752,0.227,0.476,0.041
512,avgNumNodes,1.381,0.091,0.301,0.026
512,avgDelays,0.751,0.167,0.409,0.036
512,avgNumQueues,0.397,0.058,0.241,0.021
512,utilization_server1,0.509,0.002,0.048,0.004
512,service_server1,2.017,0.035,0.188,0.016
512,share_server1,0.517,0.001,0.026,0.002
512,utilization_server2,0.504,0.002,0.049,0.004
512,service_server2,2.022,0.043,0.207,0.018
512,share_server2,0.511,0.001,0.026,0.002
1024,avgInterarrivals,2.118,0.022,0.149,0.009
1024,avgWaits,2.761,0.271,0.521,0.032
1024,avgNumNodes,1.387,0.103,0.321,0.020
1024,avgDelays,0.762,0.202,0.449,0.028
1024,avgNumQueues,0.403,0.068,0.261,0.016
1024,utilization_server1,0.508,0.002,0.049,0.003
1024,service_server1,2.016,0.038,0.195,0.012
1024,share_server1,0.517,0.001,0.026,0.002
1024,utilization_server2,0.504,0.002,0.049,0.003
1024,service_server2,2.020,0.042,0.204,0.013
1024,share_server2,0.511,0.001,0.026,0.002
