num. sample,statistic,mean,variance,std dev,w (interval length/2)
2,avgInterarrivals,2.076,0.053,0.229,2.914
2,avgWaits,7.504,3.374,1.837,23.339
2,avgNumNodes,3.426,0.215,0.464,5.891
2,avgDelays,3.876,1.855,1.362,17.305
2,avgNumQueues,1.753,0.191,0.437,5.556
2,utilization_server4,0.907,0.000,0.012,0.155
2,service_server4,3.620,0.421,0.649,8.248
2,share_server4,0.544,0.001,0.031,0.393
2,utilization_server5,0.863,0.000,0.001,0.007
2,service_server5,3.481,0.012,0.111,1.407
2,share_server5,0.532,0.002,0.045,0.567
4,avgInterarrivals,2.149,0.032,0.178,0.328
4,avgWaits,6.983,4.211,2.052,3.770
4,avgNumNodes,3.155,0.677,0.823,1.511
4,avgDelays,3.439,2.807,1.675,3.078
4,avgNumQueues,1.566,0.503,0.709,1.303
4,utilization_server4,0.859,0.005,0.069,0.127
4,service_server4,3.450,0.240,0.490,0.900
4,share_server4,0.554,0.001,0.036,0.066
4,utilization_server5,0.814,0.005,0.068,0.124
4,service_server5,3.502,0.198,0.444,0.817
4,share_server5,0.527,0.002,0.039,0.072
8,avgInterarrivals,2.184,0.052,0.228,0.204
8,avgWaits,6.115,4.202,2.050,1.832
8,avgNumNodes,2.806,1.051,1.025,0.916
8,avgDelays,2.874,2.702,1.644,1.469
8,avgNumQueues,1.346,0.623,0.789,0.706
8,utilization_server4,0.815,0.011,0.105,0.094
8,service_server4,3.207,0.201,0.449,0.401
8,share_server4,0.579,0.002,0.050,0.044
8,utilization_server5,0.730,0.039,0.197,0.176
8,service_server5,3.300,0.521,0.722,0.645
8,share_server5,0.496,0.003,0.054,0.049
16,avgInterarrivals,2.077,0.045,0.212,0.117
16,avgWaits,5.985,4.218,2.054,1.130
16,avgNumNodes,2.905,1.276,1.129,0.622
16,avgDelays,2.859,3.081,1.755,0.966
16,avgNumQueues,1.426,0.874,0.935,0.515
16,utilization_server4,0.825,0.010,0.098,0.054
16,service_server4,3.215,0.255,0.505,0.278
16,share_server4,0.559,0.004,0.063,0.035
16,utilization_server5,0.743,0.027,0.164,0.090
16,service_server5,3.099,0.399,0.632,0.348
16,share_server5,0.515,0.004,0.063,0.035
32,avgInterarrivals,2.151,0.053,0.229,0.084
32,avgWaits,5.907,9.847,3.138,1.149
32,avgNumNodes,2.765,2.252,1.501,0.550
32,avgDelays,2.773,7.686,2.772,1.016
32,avgNumQueues,1.333,1.708,1.307,0.479
32,utilization_server4,0.812,0.011,0.107,0.039
32,service_server4,3.169,0.291,0.540,0.198
32,share_server4,0.580,0.004,0.061,0.022
32,utilization_server5,0.704,0.029,0.172,0.063
32,service_server5,3.160,0.399,0.632,0.231
32,share_server5,0.492,0.005,0.068,0.025
64,avgInterarrivals,2.134,0.057,0.240,0.060
64,avgWaits,5.605,6.891,2.625,0.661
64,avgNumNodes,2.638,1.657,1.287,0.324
64,avgDelays,2.558,5.311,2.305,0.580
64,avgNumQueues,1.236,1.249,1.118,0.281
64,utilization_server4,0.807,0.009,0.095,0.024
64,service_server4,3.200,0.365,0.604,0.152
64,share_server4,0.568,0.004,0.061,0.015
64,utilization_server5,0.675,0.022,0.148,0.037
64,service_server5,2.966,0.364,0.603,0.152
64,share_server5,0.499,0.004,0.065,0.016
128,avgInterarrivals,2.139,0.062,0.249,0.044
128,avgWaits,5.579,5.169,2.274,0.399
128,avgNumNodes,2.624,1.358,1.165,0.205
128,avgDelays,2.533,4.084,2.021,0.355
128,avgNumQueues,1.225,1.031,1.016,0.178
128,utilization_server4,0.803,0.009,0.097,0.017
128,service_server4,3.148,0.360,0.600,0.105
128,share_server4,0.577,0.004,0.064,0.011
128,utilization_server5,0.675,0.019,0.137,0.024
128,service_server5,3.024,0.374,0.612,0.107
128,share_server5,0.490,0.004,0.066,0.012
256,avgInterarrivals,2.131,0.055,0.234,0.029
256,avgWaits,5.754,6.554,2.560,0.316
256,avgNumNodes,2.711,1.626,1.275,0.157
256,avgDelays,2.683,5.278,2.297,0.283
256,avgNumQueues,1.296,1.271,1.127,0.139
256,utilization_server4,0.813,0.010,0.102,0.013
256,service_server4,3.181,0.380,0.617,0.076
256,share_server4,0.576,0.004,0.065,0.008
256,utilization_server5,0.684,0.020,0.141,0.017
256,service_server5,3.055,0.442,0.665,0.082
256,share_server5,0.492,0.004,0.067,0.008
512,avgInterarrivals,2.138,0.069,0.262,0.023
512,avgWaits,5.816,6.125,2.475,0.215
512,avgNumNodes,2.742,1.503,1.226,0.107
512,avgDelays,2.748,4.890,2.211,0.192
512,avgNumQueues,1.330,1.163,1.078,0.094
512,utilization_server4,0.811,0.010,0.099,0.009
512,service_server4,3.158,0.348,0.590,0.051
512,share_server4,0.580,0.004,0.059,0.005
512,utilization_server5,0.683,0.019,0.139,0.012
512,service_server5,3.058,0.419,0.648,0.056
512,share_server5,0.489,0.004,0.062,0.005
1024,avgInterarrivals,2.146,0.064,0.253,0.016
1024,avgWaits,5.808,5.979,2.445,0.150
1024,avgNumNodes,2.729,1.519,1.232,0.076
1024,avgDelays,2.743,4.757,2.181,0.134
1024,avgNumQueues,1.323,1.175,1.084,0.066
1024,utilization_server4,0.806,0.010,0.101,0.006
1024,service_server4,3.120,0.330,0.575,0.035
1024,share_server4,0.585,0.004,0.060,0.004
1024,utilization_server5,0.680,0.019,0.137,0.008
1024,service_server5,3.088,0.398,0.630,0.039
1024,share_server5,0.483,0.004,0.063,0.004
