num. sample,statistic,mean,variance,std dev,w (interval length/2)
2,avgInterarrivals,20.053,170.129,13.043,165.731
2,avgWaits,1.966,0.025,0.157,1.996
2,avgNumNodes,0.343,0.005,0.070,0.887
2,avgDelays,0.020,0.000,0.020,0.251
2,avgNumQueues,0.007,0.000,0.007,0.087
2,utilization_server1,0.181,0.002,0.039,0.501
2,service_server1,1.839,0.160,0.399,5.075
2,share_server1,0.552,0.001,0.037,0.475
2,utilization_server2,0.177,0.001,0.030,0.381
2,service_server2,1.888,0.000,0.007,0.095
2,share_server2,0.536,0.000,0.015,0.191
4,avgInterarrivals,13.008,134.820,11.611,21.334
4,avgWaits,2.032,0.017,0.129,0.238
4,avgNumNodes,0.422,0.010,0.100,0.184
4,avgDelays,0.121,0.012,0.108,0.198
4,avgNumQueues,0.037,0.001,0.036,0.066
4,utilization_server1,0.211,0.002,0.041,0.076
4,service_server1,1.910,0.113,0.336,0.618
4,share_server1,0.547,0.001,0.029,0.053
4,utilization_server2,0.196,0.001,0.035,0.063
4,service_server2,1.842,0.007,0.086,0.159
4,share_server2,0.519,0.000,0.020,0.037
8,avgInterarrivals,12.193,110.545,10.514,9.397
8,avgWaits,2.076,0.128,0.358,0.320
8,avgNumNodes,0.463,0.023,0.151,0.135
8,avgDelays,0.135,0.013,0.113,0.101
8,avgNumQueues,0.045,0.002,0.044,0.039
8,utilization_server1,0.231,0.006,0.076,0.068
8,service_server1,1.983,0.232,0.481,0.430
8,share_server1,0.532,0.001,0.030,0.027
8,utilization_server2,0.213,0.003,0.052,0.046
8,service_server2,1.874,0.032,0.178,0.159
8,share_server2,0.524,0.000,0.021,0.019
16,avgInterarrivals,9.059,65.885,8.117,4.467
16,avgWaits,2.734,1.218,1.104,0.607
16,avgNumNodes,0.729,0.168,0.410,0.226
16,avgDelays,0.719,0.911,0.954,0.525
16,avgNumQueues,0.248,0.106,0.325,0.179
16,utilization_server1,0.269,0.006,0.076,0.042
16,service_server1,2.115,0.233,0.483,0.266
16,share_server1,0.530,0.001,0.034,0.018
16,utilization_server2,0.244,0.003,0.057,0.031
16,service_server2,1.934,0.039,0.196,0.108
16,share_server2,0.520,0.001,0.031,0.017
32,avgInterarrivals,7.120,37.051,6.087,2.230
32,avgWaits,2.859,1.023,1.011,0.371
32,avgNumNodes,0.823,0.178,0.421,0.154
32,avgDelays,0.822,0.815,0.903,0.331
32,avgNumQueues,0.304,0.113,0.336,0.123
32,utilization_server1,0.287,0.004,0.067,0.024
32,service_server1,2.103,0.175,0.419,0.153
32,share_server1,0.532,0.001,0.036,0.013
32,utilization_server2,0.267,0.004,0.063,0.023
32,service_server2,1.994,0.061,0.248,0.091
32,share_server2,0.515,0.001,0.035,0.013
64,avgInterarrivals,6.819,27.710,5.264,1.325
64,avgWaits,2.909,1.006,1.003,0.252
64,avgNumNodes,0.859,0.198,0.445,0.112
64,avgDelays,0.893,0.831,0.912,0.230
64,avgNumQueues,0.338,0.128,0.357,0.090
64,utilization_server1,0.281,0.005,0.071,0.018
64,service_server1,2.051,0.154,0.392,0.099
64,share_server1,0.530,0.001,0.035,0.009
64,utilization_server2,0.274,0.004,0.065,0.016
64,service_server2,2.016,0.056,0.236,0.060
64,share_server2,0.515,0.001,0.037,0.009
128,avgInterarrivals,6.387,16.095,4.012,0.704
128,avgWaits,2.894,0.939,0.969,0.170
128,avgNumNodes,0.859,0.195,0.442,0.078
128,avgDelays,0.866,0.779,0.883,0.155
128,avgNumQueues,0.333,0.124,0.352,0.062
128,utilization_server1,0.284,0.005,0.070,0.012
128,service_server1,2.052,0.126,0.354,0.062
128,share_server1,0.532,0.001,0.036,0.006
128,utilization_server2,0.276,0.005,0.070,0.012
128,service_server2,2.043,0.103,0.321,0.056
128,share_server2,0.512,0.001,0.037,0.007
256,avgInterarrivals,6.529,16.704,4.087,0.504
256,avgWaits,2.959,1.160,1.077,0.133
256,avgNumNodes,0.876,0.243,0.493,0.061
256,avgDelays,0.931,0.951,0.975,0.120
256,avgNumQueues,0.356,0.156,0.395,0.049
256,utilization_server1,0.280,0.006,0.074,0.009
256,service_server1,2.037,0.124,0.353,0.043
256,share_server1,0.534,0.001,0.035,0.004
256,utilization_server2,0.273,0.005,0.072,0.009
256,service_server2,2.054,0.110,0.332,0.041
256,share_server2,0.511,0.001,0.036,0.004
512,avgInterarrivals,6.339,13.492,3.673,0.319
512,avgWaits,2.979,1.251,1.119,0.097
512,avgNumNodes,0.897,0.273,0.522,0.045
512,avgDelays,0.943,1.032,1.016,0.088
512,avgNumQueues,0.366,0.179,0.423,0.037
512,utilization_server1,0.286,0.006,0.075,0.006
512,service_server1,2.050,0.125,0.354,0.031
512,share_server1,0.534,0.002,0.039,0.003
512,utilization_server2,0.279,0.005,0.073,0.006
512,service_server2,2.066,0.130,0.361,0.031
512,share_server2,0.511,0.002,0.039,0.003
1024,avgInterarrivals,6.439,14.626,3.824,0.235
1024,avgWaits,2.987,1.488,1.220,0.075
1024,avgNumNodes,0.904,0.340,0.583,0.036
1024,avgDelays,0.962,1.239,1.113,0.068
1024,avgNumQueues,0.378,0.230,0.480,0.029
1024,utilization_server1,0.284,0.006,0.076,0.005
1024,service_server1,2.049,0.126,0.355,0.022
1024,share_server1,0.532,0.002,0.039,0.002
1024,utilization_server2,0.276,0.006,0.077,0.005
1024,service_server2,2.044,0.126,0.355,0.022
1024,share_server2,0.512,0.001,0.039,0.002
