num. sample,statistic,mean,variance,std dev,w (interval length/2)
2,avgInterarrivals,5.279,0.015,0.121,1.537
2,avgWaits,3.504,0.024,0.154,1.961
2,avgNumNodes,0.641,0.001,0.032,0.402
2,avgDelays,0.014,0.000,0.014,0.183
2,avgNumQueues,0.003,0.000,0.003,0.035
2,utilization_server4,0.475,0.002,0.043,0.551
2,service_server4,3.933,1.099,1.049,13.323
2,share_server4,0.695,0.013,0.114,1.450
2,utilization_server5,0.201,0.000,0.014,0.172
2,service_server5,3.392,1.985,1.409,17.901
2,share_server5,0.372,0.015,0.121,1.534
4,avgInterarrivals,7.281,6.352,2.520,4.631
4,avgWaits,3.506,0.014,0.119,0.219
4,avgNumNodes,0.513,0.022,0.147,0.271
4,avgDelays,0.064,0.005,0.070,0.129
4,avgNumQueues,0.007,0.000,0.006,0.012
4,utilization_server4,0.374,0.012,0.110,0.202
4,service_server4,3.699,0.868,0.932,1.712
4,share_server4,0.754,0.013,0.115,0.211
4,utilization_server5,0.161,0.004,0.061,0.112
4,service_server5,3.539,4.037,2.009,3.692
4,share_server5,0.337,0.012,0.108,0.199
8,avgInterarrivals,7.087,3.429,1.852,1.655
8,avgWaits,3.558,0.316,0.562,0.502
8,avgNumNodes,0.516,0.020,0.143,0.127
8,avgDelays,0.078,0.011,0.105,0.094
8,avgNumQueues,0.011,0.000,0.014,0.013
8,utilization_server4,0.368,0.010,0.102,0.091
8,service_server4,3.735,0.838,0.915,0.818
8,share_server4,0.722,0.009,0.095,0.085
8,utilization_server5,0.169,0.004,0.065,0.058
8,service_server5,3.168,2.309,1.519,1.358
8,share_server5,0.369,0.011,0.103,0.092
16,avgInterarrivals,7.093,2.102,1.450,0.798
16,avgWaits,3.080,0.558,0.747,0.411
16,avgNumNodes,0.448,0.021,0.146,0.080
16,avgDelays,0.081,0.010,0.098,0.054
16,avgNumQueues,0.012,0.000,0.014,0.008
16,utilization_server4,0.327,0.010,0.102,0.056
16,service_server4,3.189,1.010,1.005,0.553
16,share_server4,0.766,0.011,0.103,0.056
16,utilization_server5,0.135,0.004,0.067,0.037
16,service_server5,2.616,1.611,1.269,0.698
16,share_server5,0.309,0.014,0.120,0.066
32,avgInterarrivals,6.792,2.409,1.552,0.569
32,avgWaits,3.128,0.601,0.775,0.284
32,avgNumNodes,0.474,0.023,0.152,0.056
32,avgDelays,0.131,0.054,0.232,0.085
32,avgNumQueues,0.021,0.001,0.037,0.013
32,utilization_server4,0.348,0.012,0.109,0.040
32,service_server4,3.149,0.792,0.890,0.326
32,share_server4,0.772,0.008,0.088,0.032
32,utilization_server5,0.133,0.004,0.060,0.022
32,service_server5,2.650,1.146,1.070,0.392
32,share_server5,0.302,0.010,0.101,0.037
64,avgInterarrivals,6.667,1.939,1.392,0.351
64,avgWaits,3.174,0.603,0.776,0.195
64,avgNumNodes,0.483,0.023,0.153,0.038
64,avgDelays,0.146,0.056,0.237,0.060
64,avgNumQueues,0.025,0.002,0.043,0.011
64,utilization_server4,0.355,0.010,0.102,0.026
64,service_server4,3.202,0.825,0.908,0.229
64,share_server4,0.770,0.007,0.085,0.021
64,utilization_server5,0.128,0.004,0.061,0.015
64,service_server5,2.559,1.032,1.016,0.256
64,share_server5,0.298,0.009,0.095,0.024
128,avgInterarrivals,6.899,2.258,1.503,0.264
128,avgWaits,3.260,0.835,0.914,0.160
128,avgNumNodes,0.481,0.026,0.161,0.028
128,avgDelays,0.189,0.113,0.337,0.059
128,avgNumQueues,0.031,0.003,0.054,0.009
128,utilization_server4,0.347,0.010,0.101,0.018
128,service_server4,3.142,0.764,0.874,0.153
128,share_server4,0.788,0.008,0.088,0.015
128,utilization_server5,0.128,0.005,0.067,0.012
128,service_server5,2.799,1.993,1.412,0.248
128,share_server5,0.281,0.009,0.096,0.017
256,avgInterarrivals,6.844,2.316,1.522,0.188
256,avgWaits,3.205,0.912,0.955,0.118
256,avgNumNodes,0.475,0.029,0.171,0.021
256,avgDelays,0.178,0.108,0.329,0.041
256,avgNumQueues,0.030,0.003,0.058,0.007
256,utilization_server4,0.346,0.010,0.099,0.012
256,service_server4,3.107,0.874,0.935,0.115
256,share_server4,0.794,0.008,0.089,0.011
256,utilization_server5,0.124,0.005,0.071,0.009
256,service_server5,2.692,1.750,1.323,0.163
256,share_server5,0.273,0.009,0.097,0.012
512,avgInterarrivals,6.902,2.871,1.694,0.147
512,avgWaits,3.178,0.876,0.936,0.081
512,avgNumNodes,0.470,0.027,0.165,0.014
512,avgDelays,0.166,0.115,0.340,0.030
512,avgNumQueues,0.028,0.004,0.059,0.005
512,utilization_server4,0.345,0.009,0.095,0.008
512,service_server4,3.085,0.849,0.921,0.080
512,share_server4,0.798,0.008,0.087,0.008
512,utilization_server5,0.123,0.005,0.071,0.006
512,service_server5,2.686,1.570,1.253,0.109
512,share_server5,0.270,0.009,0.096,0.008
1024,avgInterarrivals,6.899,3.645,1.909,0.117
1024,avgWaits,3.209,0.826,0.909,0.056
1024,avgNumNodes,0.476,0.027,0.165,0.010
1024,avgDelays,0.172,0.095,0.309,0.019
1024,avgNumQueues,0.029,0.003,0.054,0.003
1024,utilization_server4,0.347,0.009,0.095,0.006
1024,service_server4,3.091,0.765,0.874,0.054
1024,share_server4,0.798,0.007,0.086,0.005
1024,utilization_server5,0.127,0.006,0.077,0.005
1024,service_server5,2.755,1.779,1.334,0.082
1024,share_server5,0.271,0.009,0.094,0.006
