num. sample,statistic,mean,variance,std dev,w (interval length/2)
2,avgInterarrivals,2.177,0.009,0.093,1.183
2,avgWaits,2.082,0.006,0.078,0.988
2,avgNumNodes,0.974,0.006,0.079,1.005
2,avgDelays,0.050,0.000,0.011,0.137
2,avgNumQueues,0.024,0.000,0.005,0.069
2,utilization_server1,0.338,0.001,0.036,0.451
2,service_server1,2.063,0.022,0.148,1.876
2,share_server1,0.351,0.000,0.006,0.082
2,utilization_server2,0.321,0.000,0.002,0.031
2,service_server2,1.928,0.018,0.135,1.720
2,share_server2,0.357,0.000,0.013,0.166
2,utilization_server3,0.322,0.001,0.037,0.464
2,service_server3,2.158,0.052,0.228,2.901
2,share_server3,0.324,0.000,0.009,0.111
4,avgInterarrivals,2.103,0.010,0.099,0.181
4,avgWaits,2.115,0.017,0.131,0.241
4,avgNumNodes,1.039,0.011,0.105,0.194
4,avgDelays,0.070,0.001,0.028,0.052
4,avgNumQueues,0.037,0.000,0.018,0.033
4,utilization_server1,0.357,0.002,0.042,0.076
4,service_server1,2.082,0.053,0.231,0.424
4,share_server1,0.350,0.000,0.011,0.020
4,utilization_server2,0.342,0.001,0.024,0.045
4,service_server2,1.989,0.014,0.118,0.218
4,share_server2,0.350,0.000,0.013,0.024
4,utilization_server3,0.337,0.001,0.035,0.064
4,service_server3,2.100,0.031,0.177,0.325
4,share_server3,0.332,0.000,0.013,0.024
8,avgInterarrivals,2.116,0.008,0.090,0.081
8,avgWaits,2.123,0.010,0.100,0.089
8,avgNumNodes,1.046,0.006,0.080,0.071
8,avgDelays,0.077,0.001,0.027,0.024
8,avgNumQueues,0.041,0.000,0.018,0.016
8,utilization_server1,0.350,0.001,0.038,0.034
8,service_server1,2.091,0.082,0.286,0.256
8,share_server1,0.343,0.000,0.022,0.019
8,utilization_server2,0.350,0.001,0.026,0.023
8,service_server2,2.092,0.058,0.240,0.215
8,share_server2,0.345,0.000,0.012,0.011
8,utilization_server3,0.337,0.001,0.033,0.029
8,service_server3,2.033,0.049,0.222,0.198
8,share_server3,0.343,0.000,0.019,0.017
16,avgInterarrivals,2.046,0.014,0.118,0.065
16,avgWaits,2.135,0.023,0.151,0.083
16,avgNumNodes,1.093,0.014,0.120,0.066
16,avgDelays,0.115,0.012,0.109,0.060
16,avgNumQueues,0.067,0.006,0.074,0.041
16,utilization_server1,0.354,0.001,0.032,0.017
16,service_server1,2.087,0.052,0.228,0.126
16,share_server1,0.339,0.000,0.019,0.010
16,utilization_server2,0.360,0.001,0.032,0.017
16,service_server2,2.076,0.058,0.240,0.132
16,share_server2,0.345,0.000,0.015,0.008
16,utilization_server3,0.342,0.001,0.027,0.015
16,service_server3,1.967,0.035,0.188,0.103
16,share_server3,0.346,0.000,0.015,0.008
32,avgInterarrivals,2.077,0.014,0.117,0.043
32,avgWaits,2.070,0.028,0.168,0.062
32,avgNumNodes,1.045,0.015,0.124,0.045
32,avgDelays,0.099,0.010,0.098,0.036
32,avgNumQueues,0.057,0.004,0.064,0.023
32,utilization_server1,0.342,0.001,0.032,0.012
32,service_server1,2.000,0.047,0.218,0.080
32,share_server1,0.346,0.000,0.017,0.006
32,utilization_server2,0.342,0.002,0.039,0.014
32,service_server2,2.003,0.059,0.243,0.089
32,share_server2,0.344,0.000,0.017,0.006
32,utilization_server3,0.334,0.001,0.035,0.013
32,service_server3,1.971,0.041,0.201,0.074
32,share_server3,0.340,0.000,0.015,0.006
64,avgInterarrivals,2.120,0.017,0.131,0.033
64,avgWaits,2.108,0.031,0.176,0.044
64,avgNumNodes,1.046,0.014,0.119,0.030
64,avgDelays,0.109,0.010,0.100,0.025
64,avgNumQueues,0.060,0.004,0.061,0.015
64,utilization_server1,0.341,0.001,0.036,0.009
64,service_server1,2.026,0.067,0.259,0.065
64,share_server1,0.347,0.000,0.020,0.005
64,utilization_server2,0.340,0.001,0.035,0.009
64,service_server2,2.025,0.054,0.232,0.058
64,share_server2,0.344,0.000,0.018,0.005
64,utilization_server3,0.334,0.001,0.035,0.009
64,service_server3,2.013,0.049,0.222,0.056
64,share_server3,0.339,0.000,0.017,0.004
128,avgInterarrivals,2.116,0.019,0.138,0.024
128,avgWaits,2.108,0.026,0.160,0.028
128,avgNumNodes,1.049,0.011,0.105,0.018
128,avgDelays,0.105,0.007,0.086,0.015
128,avgNumQueues,0.057,0.003,0.052,0.009
128,utilization_server1,0.343,0.001,0.033,0.006
128,service_server1,2.024,0.058,0.240,0.042
128,share_server1,0.347,0.000,0.020,0.003
128,utilization_server2,0.341,0.001,0.035,0.006
128,service_server2,2.031,0.057,0.239,0.042
128,share_server2,0.343,0.000,0.018,0.003
128,utilization_server3,0.337,0.001,0.034,0.006
128,service_server3,2.020,0.049,0.222,0.039
128,share_server3,0.339,0.000,0.017,0.003
256,avgInterarrivals,2.107,0.021,0.146,0.018
256,avgWaits,2.115,0.027,0.163,0.020
256,avgNumNodes,1.056,0.013,0.115,0.014
