num. sample,statistic,mean,variance,std dev,w (interval length/2)
2,avgInterarrivals,2.060,0.043,0.207,2.625
2,avgWaits,7.430,3.073,1.753,22.273
2,avgNumNodes,3.451,0.236,0.486,6.170
2,avgDelays,3.852,1.752,1.324,16.820
2,avgNumQueues,1.774,0.203,0.451,5.732
2,utilization_server5,0.910,0.001,0.024,0.304
2,service_server5,3.601,0.428,0.654,8.310
2,share_server5,0.544,0.001,0.031,0.400
2,utilization_server6,0.861,0.000,0.006,0.071
2,service_server6,3.476,0.013,0.114,1.454
2,share_server6,0.525,0.002,0.041,0.515
4,avgInterarrivals,2.118,0.026,0.162,0.297
4,avgWaits,6.919,3.939,1.985,3.647
4,avgNumNodes,3.185,0.711,0.843,1.550
4,avgDelays,3.440,2.755,1.660,3.050
4,avgNumQueues,1.591,0.527,0.726,1.333
4,utilization_server5,0.861,0.005,0.073,0.135
4,service_server5,3.434,0.242,0.492,0.904
4,share_server5,0.550,0.001,0.033,0.061
4,utilization_server6,0.815,0.005,0.069,0.126
4,service_server6,3.498,0.195,0.442,0.812
4,share_server6,0.521,0.001,0.038,0.070
8,avgInterarrivals,2.167,0.053,0.230,0.205
8,avgWaits,6.099,4.000,2.000,1.787
8,avgNumNodes,2.829,1.075,1.037,0.927
8,avgDelays,2.887,2.667,1.633,1.460
8,avgNumQueues,1.364,0.642,0.801,0.716
8,utilization_server5,0.816,0.011,0.106,0.095
8,service_server5,3.200,0.195,0.441,0.394
8,share_server5,0.574,0.002,0.048,0.043
8,utilization_server6,0.728,0.037,0.191,0.171
8,service_server6,3.291,0.488,0.698,0.624
8,share_server6,0.492,0.003,0.050,0.045
16,avgInterarrivals,2.073,0.044,0.209,0.115
16,avgWaits,5.999,4.185,2.046,1.126
16,avgNumNodes,2.928,1.327,1.152,0.634
16,avgDelays,2.880,3.124,1.767,0.973
16,avgNumQueues,1.443,0.912,0.955,0.526
16,utilization_server5,0.826,0.010,0.098,0.054
16,service_server5,3.213,0.257,0.506,0.279
16,share_server5,0.558,0.004,0.061,0.034
16,utilization_server6,0.741,0.026,0.161,0.089
16,service_server6,3.094,0.381,0.617,0.340
16,share_server6,0.512,0.004,0.062,0.034
32,avgInterarrivals,2.151,0.053,0.231,0.085
32,avgWaits,5.917,9.835,3.136,1.149
32,avgNumNodes,2.780,2.288,1.513,0.554
32,avgDelays,2.788,7.748,2.784,1.020
32,avgNumQueues,1.344,1.737,1.318,0.483
32,utilization_server5,0.814,0.011,0.106,0.039
32,service_server5,3.167,0.289,0.537,0.197
32,share_server5,0.580,0.004,0.061,0.022
32,utilization_server6,0.707,0.030,0.172,0.063
32,service_server6,3.162,0.392,0.626,0.229
32,share_server6,0.491,0.004,0.067,0.025
64,avgInterarrivals,2.135,0.057,0.239,0.060
64,avgWaits,5.611,6.901,2.627,0.661
64,avgNumNodes,2.648,1.684,1.298,0.327
64,avgDelays,2.567,5.358,2.315,0.583
64,avgNumQueues,1.244,1.270,1.127,0.284
64,utilization_server5,0.808,0.009,0.096,0.024
64,service_server5,3.199,0.361,0.601,0.151
64,share_server5,0.569,0.004,0.061,0.015
64,utilization_server6,0.677,0.022,0.149,0.037
64,service_server6,2.967,0.360,0.600,0.151
64,share_server6,0.499,0.004,0.064,0.016
128,avgInterarrivals,2.141,0.061,0.246,0.043
128,avgWaits,5.587,5.162,2.272,0.399
128,avgNumNodes,2.632,1.363,1.167,0.205
128,avgDelays,2.542,4.089,2.022,0.355
128,avgNumQueues,1.231,1.036,1.018,0.179
128,utilization_server5,0.804,0.010,0.098,0.017
128,service_server5,3.148,0.359,0.599,0.105
128,share_server5,0.577,0.004,0.063,0.011
128,utilization_server6,0.677,0.019,0.137,0.024
128,service_server6,3.024,0.365,0.605,0.106
128,share_server6,0.491,0.004,0.066,0.012
256,avgInterarrivals,2.131,0.054,0.233,0.029
256,avgWaits,5.760,6.556,2.560,0.316
256,avgNumNodes,2.720,1.630,1.277,0.157
256,avgDelays,2.693,5.289,2.300,0.284
256,avgNumQueues,1.303,1.276,1.130,0.139
256,utilization_server5,0.815,0.010,0.101,0.013
256,service_server5,3.181,0.380,0.616,0.076
256,share_server5,0.576,0.004,0.064,0.008
256,utilization_server6,0.687,0.020,0.140,0.017
256,service_server6,3.053,0.430,0.656,0.081
256,share_server6,0.493,0.005,0.067,0.008
512,avgInterarrivals,2.137,0.067,0.260,0.023
512,avgWaits,5.821,6.091,2.468,0.214
512,avgNumNodes,2.750,1.500,1.225,0.106
512,avgDelays,2.755,4.867,2.206,0.192
512,avgNumQueues,1.335,1.161,1.078,0.094
512,utilization_server5,0.814,0.010,0.100,0.009
512,service_server5,3.158,0.348,0.590,0.051
512,share_server5,0.580,0.003,0.059,0.005
512,utilization_server6,0.685,0.019,0.138,0.012
512,service_server6,3.057,0.412,0.642,0.056
512,share_server6,0.490,0.004,0.062,0.005
1024,avgInterarrivals,2.145,0.064,0.253,0.016
1024,avgWaits,5.813,5.965,2.442,0.150
1024,avgNumNodes,2.736,1.518,1.232,0.076
1024,avgDelays,2.750,4.751,2.180,0.134
1024,avgNumQueues,1.328,1.176,1.084,0.067
1024,utilization_server5,0.809,0.010,0.101,0.006
1024,service_server5,3.120,0.329,0.574,0.035
1024,share_server5,0.585,0.004,0.060,0.004
1024,utilization_server6,0.682,0.018,0.136,0.008
1024,service_server6,3.089,0.395,0.629,0.039
1024,share_server6,0.484,0.004,0.063,0.004
