num. sample,statistic,mean,variance,std dev,w (interval length/2)
2,avgInterarrivals,18.661,203.130,14.252,181.093
2,avgWaits,1.951,0.001,0.038,0.479
2,avgNumNodes,0.424,0.000,0.012,0.155
2,avgDelays,0.013,0.000,0.010,0.130
2,avgNumQueues,0.004,0.000,0.003,0.038
2,utilization_server1,0.136,0.000,0.004,0.052
2,service_server1,1.828,0.010,0.099,1.256
2,share_server1,0.347,0.000,0.014,0.173
2,utilization_server2,0.145,0.000,0.003,0.033
2,service_server2,2.034,0.006,0.078,0.987
2,share_server2,0.327,0.000,0.003,0.040
2,utilization_server3,0.141,0.000,0.009,0.116
2,service_server3,2.047,0.004,0.061,0.775
2,share_server3,0.317,0.000,0.004,0.046
4,avgInterarrivals,11.772,149.079,12.210,22.434
4,avgWaits,1.886,0.005,0.070,0.130
4,avgNumNodes,0.401,0.001,0.032,0.058
4,avgDelays,0.015,0.000,0.013,0.024
4,avgNumQueues,0.004,0.000,0.004,0.007
4,utilization_server1,0.131,0.000,0.011,0.020
4,service_server1,1.834,0.009,0.095,0.174
4,share_server1,0.339,0.000,0.013,0.024
4,utilization_server2,0.140,0.000,0.006,0.011
4,service_server2,2.036,0.003,0.056,0.103
4,share_server2,0.325,0.000,0.009,0.017
4,utilization_server3,0.127,0.000,0.016,0.030
4,service_server3,1.820,0.055,0.234,0.429
4,share_server3,0.330,0.000,0.015,0.028
8,avgInterarrivals,8.186,87.414,9.350,8.356
8,avgWaits,1.949,0.008,0.090,0.081
8,avgNumNodes,0.419,0.001,0.034,0.030
8,avgDelays,0.017,0.000,0.018,0.016
8,avgNumQueues,0.004,0.000,0.004,0.004
8,utilization_server1,0.139,0.000,0.012,0.011
8,service_server1,1.932,0.020,0.142,0.127
8,share_server1,0.336,0.000,0.012,0.010
8,utilization_server2,0.142,0.000,0.011,0.010
8,service_server2,2.023,0.024,0.156,0.139
8,share_server2,0.326,0.000,0.007,0.007
8,utilization_server3,0.136,0.000,0.017,0.015
8,service_server3,1.896,0.035,0.188,0.168
8,share_server3,0.335,0.000,0.013,0.011
16,avgInterarrivals,6.517,46.548,6.823,3.755
16,avgWaits,1.952,0.008,0.089,0.049
16,avgNumNodes,0.412,0.001,0.037,0.020
16,avgDelays,0.015,0.000,0.017,0.009
16,avgNumQueues,0.003,0.000,0.004,0.002
16,utilization_server1,0.135,0.000,0.012,0.007
16,service_server1,1.921,0.018,0.135,0.074
16,share_server1,0.336,0.000,0.009,0.005
16,utilization_server2,0.139,0.000,0.015,0.008
16,service_server2,1.994,0.031,0.177,0.097
16,share_server2,0.331,0.000,0.008,0.004
16,utilization_server3,0.136,0.000,0.016,0.009
16,service_server3,1.931,0.023,0.152,0.083
16,share_server3,0.333,0.000,0.010,0.005
32,avgInterarrivals,5.605,24.137,4.913,1.800
32,avgWaits,1.976,0.009,0.095,0.035
32,avgNumNodes,0.419,0.001,0.036,0.013
32,avgDelays,0.012,0.000,0.014,0.005
32,avgNumQueues,0.003,0.000,0.003,0.001
32,utilization_server1,0.141,0.000,0.014,0.005
32,service_server1,1.995,0.028,0.166,0.061
32,share_server1,0.333,0.000,0.011,0.004
32,utilization_server2,0.140,0.000,0.015,0.006
32,service_server2,1.994,0.041,0.203,0.074
32,share_server2,0.332,0.000,0.008,0.003
32,utilization_server3,0.138,0.000,0.014,0.005
32,service_server3,1.940,0.017,0.129,0.047
32,share_server3,0.335,0.000,0.010,0.004
64,avgInterarrivals,5.175,12.300,3.507,0.883
64,avgWaits,2.000,0.013,0.114,0.029
64,avgNumNodes,0.423,0.001,0.036,0.009
64,avgDelays,0.014,0.000,0.018,0.004
64,avgNumQueues,0.003,0.000,0.004,0.001
64,utilization_server1,0.141,0.000,0.014,0.003
64,service_server1,2.003,0.036,0.191,0.048
64,share_server1,0.334,0.000,0.010,0.003
64,utilization_server2,0.142,0.000,0.016,0.004
64,service_server2,2.029,0.053,0.231,0.058
64,share_server2,0.332,0.000,0.008,0.002
64,utilization_server3,0.139,0.000,0.015,0.004
64,service_server3,1.959,0.033,0.182,0.046
64,share_server3,0.335,0.000,0.010,0.002
128,avgInterarrivals,4.943,6.236,2.497,0.438
128,avgWaits,2.006,0.013,0.115,0.020
128,avgNumNodes,0.425,0.001,0.034,0.006
128,avgDelays,0.016,0.000,0.018,0.003
128,avgNumQueues,0.004,0.000,0.004,0.001
128,utilization_server1,0.142,0.000,0.014,0.002
128,service_server1,2.012,0.037,0.193,0.034
128,share_server1,0.333,0.000,0.009,0.002
128,utilization_server2,0.142,0.000,0.014,0.003
128,service_server2,2.014,0.041,0.203,0.036
128,share_server2,0.333,0.000,0.008,0.001
128,utilization_server3,0.140,0.000,0.014,0.002
128,service_server3,1.977,0.035,0.187,0.033
128,share_server3,0.334,0.000,0.009,0.002
