num. sample,statistic,mean,variance,std dev,w (interval length/2)
2,avgInterarrivals,22.566,280.512,16.749,212.810
2,avgWaits,3.208,0.008,0.091,1.152
2,avgNumNodes,0.546,0.000,0.009,0.118
2,avgDelays,0.142,0.000,0.015,0.194
2,avgNumQueues,0.024,0.000,0.002,0.024
2,utilization_server5,0.364,0.000,0.004,0.046
2,service_server5,2.952,0.008,0.087,1.101
2,share_server5,0.725,0.000,0.006,0.072
2,utilization_server6,0.164,0.000,0.003,0.042
2,service_server6,3.360,0.002,0.046,0.588
2,share_server6,0.284,0.000,0.005,0.070
4,avgInterarrivals,14.193,210.391,14.505,26.651
4,avgWaits,3.075,0.026,0.161,0.295
4,avgNumNodes,0.524,0.001,0.023,0.043
4,avgDelays,0.179,0.002,0.044,0.081
4,avgNumQueues,0.031,0.000,0.008,0.015
4,utilization_server5,0.349,0.000,0.015,0.027
4,service_server5,2.814,0.034,0.183,0.337
4,share_server5,0.728,0.000,0.009,0.016
4,utilization_server6,0.148,0.000,0.016,0.029
4,service_server6,3.160,0.041,0.203,0.373
4,share_server6,0.272,0.000,0.014,0.025
8,avgInterarrivals,10.054,122.348,11.061,9.886
8,avgWaits,3.141,0.034,0.183,0.164
8,avgNumNodes,0.532,0.000,0.022,0.020
8,avgDelays,0.206,0.005,0.069,0.061
8,avgNumQueues,0.035,0.000,0.011,0.010
8,utilization_server5,0.353,0.000,0.012,0.010
8,service_server5,2.918,0.040,0.201,0.179
8,share_server5,0.716,0.000,0.018,0.016
8,utilization_server6,0.147,0.000,0.014,0.013
8,service_server6,3.049,0.048,0.218,0.195
8,share_server6,0.285,0.000,0.019,0.017
16,avgInterarrivals,7.912,65.826,8.113,4.465
16,avgWaits,3.219,0.028,0.168,0.093
16,avgNumNodes,0.552,0.001,0.038,0.021
16,avgDelays,0.235,0.010,0.100,0.055
16,avgNumQueues,0.041,0.000,0.018,0.010
16,utilization_server5,0.362,0.001,0.023,0.013
16,service_server5,3.015,0.044,0.210,0.116
16,share_server5,0.704,0.001,0.025,0.014
16,utilization_server6,0.153,0.000,0.017,0.009
16,service_server6,3.019,0.098,0.314,0.173
16,share_server6,0.296,0.001,0.026,0.014
32,avgInterarrivals,6.943,33.899,5.822,2.133
32,avgWaits,3.177,0.041,0.202,0.074
32,avgNumNodes,0.539,0.002,0.048,0.018
32,avgDelays,0.227,0.010,0.102,0.038
32,avgNumQueues,0.039,0.000,0.018,0.007
32,utilization_server5,0.355,0.001,0.023,0.009
32,service_server5,2.994,0.043,0.207,0.076
32,share_server5,0.705,0.001,0.025,0.009
32,utilization_server6,0.148,0.000,0.020,0.007
32,service_server6,2.962,0.105,0.324,0.119
32,share_server6,0.295,0.001,0.024,0.009
64,avgInterarrivals,6.428,17.269,4.156,1.046
64,avgWaits,3.216,0.050,0.225,0.057
64,avgNumNodes,0.545,0.003,0.054,0.014
64,avgDelays,0.231,0.012,0.110,0.028
64,avgNumQueues,0.040,0.000,0.021,0.005
64,utilization_server5,0.357,0.000,0.022,0.006
64,service_server5,3.044,0.038,0.196,0.049
64,share_server5,0.697,0.001,0.026,0.007
64,utilization_server6,0.152,0.001,0.025,0.006
64,service_server6,2.948,0.108,0.329,0.083
64,share_server6,0.302,0.001,0.026,0.007
128,avgInterarrivals,6.133,8.786,2.964,0.520
128,avgWaits,3.216,0.047,0.218,0.038
128,avgNumNodes,0.549,0.003,0.055,0.010
128,avgDelays,0.230,0.010,0.099,0.017
128,avgNumQueues,0.040,0.000,0.019,0.003
128,utilization_server5,0.358,0.001,0.025,0.004
128,service_server5,3.021,0.040,0.199,0.035
128,share_server5,0.699,0.001,0.025,0.004
128,utilization_server6,0.155,0.001,0.025,0.004
128,service_server6,2.994,0.095,0.309,0.054
128,share_server6,0.301,0.001,0.025,0.004
