num. sample,statistic,mean,variance,std dev,w (interval length/2)
2,avgInterarrivals,2.188,0.025,0.157,1.994
2,avgWaits,2.429,0.000,0.012,0.146
2,avgNumNodes,1.175,0.000,0.014,0.180
2,avgDelays,0.474,0.000,0.016,0.200
2,avgNumQueues,0.230,0.000,0.011,0.134
2,utilization_server1,0.471,0.000,0.010,0.127
2,service_server1,1.903,0.004,0.063,0.797
2,share_server1,0.513,0.000,0.016,0.199
2,utilization_server2,0.477,0.000,0.007,0.086
2,service_server2,2.028,0.014,0.118,1.499
2,share_server2,0.489,0.000,0.013,0.161
4,avgInterarrivals,2.073,0.026,0.160,0.295
4,avgWaits,2.524,0.031,0.177,0.325
4,avgNumNodes,1.253,0.013,0.116,0.212
4,avgDelays,0.530,0.015,0.124,0.228
4,avgNumQueues,0.264,0.004,0.066,0.122
4,utilization_server1,0.504,0.001,0.038,0.070
4,service_server1,2.042,0.026,0.162,0.298
4,share_server1,0.500,0.000,0.018,0.033
4,utilization_server2,0.490,0.000,0.017,0.032
4,service_server2,1.975,0.010,0.101,0.186
4,share_server2,0.501,0.000,0.015,0.027
8,avgInterarrivals,2.051,0.022,0.147,0.131
8,avgWaits,2.520,0.039,0.198,0.177
8,avgNumNodes,1.254,0.020,0.141,0.126
8,avgDelays,0.560,0.026,0.160,0.143
8,avgNumQueues,0.282,0.008,0.088,0.079
8,utilization_server1,0.494,0.002,0.041,0.036
8,service_server1,1.983,0.017,0.131,0.117
8,share_server1,0.504,0.000,0.015,0.014
8,utilization_server2,0.482,0.001,0.028,0.025
8,service_server2,1.964,0.009,0.095,0.084
8,share_server2,0.496,0.000,0.014,0.012
16,avgInterarrivals,2.033,0.012,0.110,0.061
16,avgWaits,2.573,0.035,0.188,0.104
16,avgNumNodes,1.278,0.014,0.120,0.066
16,avgDelays,0.606,0.025,0.157,0.086
16,avgNumQueues,0.303,0.007,0.083,0.045
16,utilization_server1,0.495,0.001,0.030,0.017
16,service_server1,2.002,0.010,0.102,0.056
16,share_server1,0.500,0.000,0.013,0.007
16,utilization_server2,0.485,0.001,0.024,0.013
16,service_server2,1.958,0.007,0.086,0.048
16,share_server2,0.500,0.000,0.012,0.007
32,avgInterarrivals,2.006,0.010,0.098,0.036
32,avgWaits,2.651,0.043,0.208,0.076
32,avgNumNodes,1.329,0.017,0.129,0.047
32,avgDelays,0.669,0.028,0.168,0.062
32,avgNumQueues,0.337,0.008,0.089,0.033
32,utilization_server1,0.500,0.001,0.029,0.011
32,service_server1,1.984,0.008,0.090,0.033
32,share_server1,0.504,0.000,0.013,0.005
32,utilization_server2,0.497,0.001,0.025,0.009
32,service_server2,2.004,0.011,0.104,0.038
32,share_server2,0.497,0.000,0.012,0.004
64,avgInterarrivals,2.003,0.009,0.093,0.023
64,avgWaits,2.670,0.045,0.211,0.053
64,avgNumNodes,1.340,0.018,0.135,0.034
64,avgDelays,0.673,0.028,0.169,0.042
64,avgNumQueues,0.340,0.008,0.092,0.023
64,utilization_server1,0.501,0.001,0.029,0.007
64,service_server1,1.991,0.008,0.087,0.022
64,share_server1,0.504,0.000,0.014,0.003
64,utilization_server2,0.504,0.001,0.027,0.007
64,service_server2,2.029,0.013,0.112,0.028
64,share_server2,0.497,0.000,0.014,0.003
128,avgInterarrivals,2.000,0.006,0.078,0.014
128,avgWaits,2.665,0.040,0.200,0.035
128,avgNumNodes,1.336,0.015,0.122,0.021
128,avgDelays,0.671,0.023,0.153,0.027
128,avgNumQueues,0.339,0.007,0.083,0.015
128,utilization_server1,0.500,0.001,0.026,0.005
128,service_server1,1.995,0.008,0.090,0.016
128,share_server1,0.502,0.000,0.014,0.002
128,utilization_server2,0.502,0.001,0.027,0.005
128,service_server2,2.020,0.012,0.111,0.019
128,share_server2,0.498,0.000,0.014,0.002
