num. sample,statistic,mean,variance,std dev,interval length
2,avgInterarrivals,10.610,70.351,8.388,106.574
2,avgWaits,2.181,0.000,0.015,0.197
2,avgNumNodes,0.923,0.002,0.045,0.571
2,avgDelays,0.290,0.009,0.093,1.186
2,avgNumQueues,0.126,0.002,0.046,0.590
2,utilization_server1,0.407,0.000,0.002,0.026
2,service_server1,1.971,0.002,0.043,0.543
2,share_server1,0.489,0.000,0.015,0.192
2,utilization_server2,0.395,0.000,0.004,0.049
2,service_server2,1.830,0.025,0.159,2.023
2,share_server2,0.514,0.000,0.011,0.134
4,avgInterarrivals,6.504,52.034,7.213,13.254
4,avgWaits,2.197,0.015,0.123,0.227
4,avgNumNodes,0.924,0.003,0.057,0.106
4,avgDelays,0.318,0.008,0.089,0.163
4,avgNumQueues,0.136,0.002,0.041,0.075
4,utilization_server1,0.401,0.000,0.022,0.040
4,service_server1,1.924,0.015,0.122,0.224
4,share_server1,0.498,0.000,0.014,0.026
4,utilization_server2,0.392,0.000,0.008,0.014
4,service_server2,1.850,0.014,0.119,0.219
4,share_server2,0.507,0.000,0.010,0.019
8,avgInterarrivals,4.423,30.355,5.509,4.924
8,avgWaits,2.345,0.035,0.186,0.166
8,avgNumNodes,0.997,0.011,0.104,0.093
8,avgDelays,0.403,0.012,0.110,0.098
8,avgNumQueues,0.174,0.003,0.053,0.047
8,utilization_server1,0.422,0.001,0.036,0.032
8,service_server1,2.039,0.033,0.183,0.163
8,share_server1,0.490,0.000,0.019,0.017
8,utilization_server2,0.406,0.001,0.024,0.021
8,service_server2,1.870,0.008,0.092,0.082
8,share_server2,0.514,0.000,0.015,0.014
16,avgInterarrivals,3.402,16.228,4.028,2.217
16,avgWaits,2.434,0.036,0.190,0.105
16,avgNumNodes,1.029,0.012,0.107,0.059
16,avgDelays,0.461,0.018,0.133,0.073
16,avgNumQueues,0.197,0.004,0.060,0.033
16,utilization_server1,0.424,0.001,0.033,0.018
16,service_server1,2.050,0.027,0.163,0.090
16,share_server1,0.493,0.000,0.020,0.011
16,utilization_server2,0.413,0.001,0.028,0.015
16,service_server2,1.925,0.012,0.109,0.060
16,share_server2,0.511,0.000,0.016,0.009
32,avgInterarrivals,2.875,8.398,2.898,1.062
32,avgWaits,2.416,0.057,0.238,0.087
32,avgNumNodes,1.025,0.013,0.115,0.042
32,avgDelays,0.449,0.030,0.173,0.063
32,avgNumQueues,0.192,0.005,0.074,0.027
32,utilization_server1,0.422,0.001,0.031,0.011
32,service_server1,2.007,0.022,0.147,0.054
32,share_server1,0.498,0.000,0.020,0.007
32,utilization_server2,0.417,0.001,0.028,0.010
32,service_server2,1.962,0.017,0.132,0.048
32,share_server2,0.503,0.000,0.019,0.007
64,avgInterarrivals,2.634,4.264,2.065,0.520
64,avgWaits,2.433,0.040,0.199,0.050
64,avgNumNodes,1.025,0.011,0.103,0.026
64,avgDelays,0.451,0.021,0.144,0.036
64,avgNumQueues,0.192,0.004,0.064,0.016
64,utilization_server1,0.421,0.001,0.029,0.007
64,service_server1,2.012,0.022,0.148,0.037
64,share_server1,0.499,0.000,0.021,0.005
64,utilization_server2,0.418,0.001,0.026,0.007
64,service_server2,1.994,0.020,0.143,0.036
64,share_server2,0.501,0.000,0.020,0.005
128,avgInterarrivals,2.489,2.158,1.469,0.258
128,avgWaits,2.417,0.039,0.198,0.035
128,avgNumNodes,1.025,0.010,0.099,0.017
128,avgDelays,0.440,0.020,0.143,0.025
128,avgNumQueues,0.189,0.004,0.064,0.011
128,utilization_server1,0.422,0.001,0.027,0.005
128,service_server1,2.008,0.020,0.142,0.025
128,share_server1,0.499,0.000,0.018,0.003
128,utilization_server2,0.420,0.001,0.027,0.005
128,service_server2,1.990,0.019,0.139,0.024
128,share_server2,0.501,0.000,0.019,0.003
