num. sample,statistic,mean,variance,std dev,w (interval length/2)
2,avgInterarrivals,21.893,255.616,15.988,203.147
2,avgWaits,3.205,0.008,0.088,1.118
2,avgNumNodes,0.543,0.000,0.014,0.175
2,avgDelays,0.142,0.000,0.015,0.191
2,avgNumQueues,0.024,0.000,0.002,0.026
2,utilization_server4,0.360,0.000,0.008,0.097
2,service_server4,2.946,0.007,0.086,1.091
2,share_server4,0.725,0.000,0.006,0.073
2,utilization_server5,0.163,0.000,0.005,0.068
2,service_server5,3.368,0.003,0.055,0.698
2,share_server5,0.283,0.000,0.005,0.064
4,avgInterarrivals,13.880,192.051,13.858,25.463
4,avgWaits,3.077,0.024,0.153,0.282
4,avgNumNodes,0.522,0.001,0.023,0.042
4,avgDelays,0.167,0.001,0.036,0.065
4,avgNumQueues,0.029,0.000,0.007,0.013
4,utilization_server4,0.349,0.000,0.013,0.023
4,service_server4,2.814,0.032,0.179,0.330
4,share_server4,0.734,0.000,0.012,0.022
4,utilization_server5,0.148,0.000,0.016,0.029
4,service_server5,3.170,0.041,0.203,0.373
4,share_server5,0.273,0.000,0.013,0.023
8,avgInterarrivals,9.944,111.554,10.562,9.440
8,avgWaits,3.158,0.033,0.182,0.162
8,avgNumNodes,0.530,0.000,0.020,0.018
8,avgDelays,0.185,0.002,0.048,0.043
8,avgNumQueues,0.031,0.000,0.008,0.007
8,utilization_server4,0.354,0.000,0.011,0.009
8,service_server4,2.941,0.049,0.222,0.198
8,share_server4,0.721,0.000,0.017,0.015
8,utilization_server5,0.148,0.000,0.013,0.012
8,service_server5,3.075,0.048,0.219,0.196
8,share_server5,0.285,0.000,0.017,0.015
16,avgInterarrivals,7.843,60.284,7.764,4.273
16,avgWaits,3.212,0.024,0.155,0.085
16,avgNumNodes,0.550,0.002,0.039,0.022
16,avgDelays,0.219,0.005,0.074,0.041
16,avgNumQueues,0.038,0.000,0.013,0.007
16,utilization_server4,0.362,0.001,0.024,0.013
16,service_server4,3.003,0.047,0.216,0.119
16,share_server4,0.708,0.001,0.029,0.016
16,utilization_server5,0.154,0.000,0.017,0.009
16,service_server5,3.033,0.099,0.315,0.173
16,share_server5,0.296,0.001,0.026,0.014
32,avgInterarrivals,6.906,31.071,5.574,2.042
32,avgWaits,3.203,0.044,0.210,0.077
32,avgNumNodes,0.543,0.003,0.050,0.018
32,avgDelays,0.229,0.010,0.100,0.037
32,avgNumQueues,0.040,0.000,0.018,0.007
32,utilization_server4,0.358,0.001,0.027,0.010
32,service_server4,3.016,0.045,0.212,0.078
32,share_server4,0.704,0.001,0.024,0.009
32,utilization_server5,0.149,0.000,0.020,0.007
32,service_server5,2.950,0.089,0.298,0.109
32,share_server5,0.297,0.001,0.023,0.008
64,avgInterarrivals,6.440,15.821,3.978,1.001
64,avgWaits,3.226,0.054,0.233,0.059
64,avgNumNodes,0.544,0.003,0.051,0.013
64,avgDelays,0.231,0.013,0.114,0.029
64,avgNumQueues,0.040,0.000,0.020,0.005
64,utilization_server4,0.357,0.001,0.024,0.006
64,service_server4,3.046,0.050,0.224,0.056
64,share_server4,0.700,0.001,0.029,0.007
64,utilization_server5,0.150,0.000,0.022,0.006
64,service_server5,2.943,0.092,0.303,0.076
64,share_server5,0.301,0.001,0.029,0.007
128,avgInterarrivals,6.145,8.076,2.842,0.499
128,avgWaits,3.223,0.047,0.218,0.038
128,avgNumNodes,0.548,0.003,0.053,0.009
128,avgDelays,0.229,0.010,0.099,0.017
128,avgNumQueues,0.040,0.000,0.018,0.003
128,utilization_server4,0.357,0.001,0.025,0.004
128,service_server4,3.024,0.048,0.219,0.038
128,share_server4,0.699,0.001,0.029,0.005
128,utilization_server5,0.155,0.001,0.025,0.004
128,service_server5,3.001,0.086,0.294,0.052
128,share_server5,0.302,0.001,0.029,0.005
