num. sample,statistic,mean,variance,std dev,interval length
2,avgInterarrivals,7.427,35.833,5.986,76.061
2,avgWaits,4.088,0.011,0.103,1.314
2,avgNumNodes,2.908,0.020,0.141,1.795
2,avgDelays,2.031,0.027,0.166,2.105
2,avgNumQueues,1.454,0.024,0.156,1.982
2,utilization_server1,0.723,0.000,0.006,0.081
2,service_server1,1.979,0.015,0.121,1.539
2,share_server1,0.518,0.000,0.017,0.219
2,utilization_server2,0.740,0.000,0.010,0.123
2,service_server2,2.171,0.000,0.005,0.062
2,share_server2,0.483,0.000,0.017,0.218
4,avgInterarrivals,4.394,27.116,5.207,9.568
4,avgWaits,4.197,0.274,0.524,0.962
4,avgNumNodes,3.034,0.171,0.413,0.759
4,avgDelays,2.165,0.246,0.496,0.911
4,avgNumQueues,1.572,0.146,0.382,0.702
4,utilization_server1,0.732,0.000,0.019,0.035
4,service_server1,1.979,0.008,0.088,0.161
4,share_server1,0.515,0.000,0.019,0.035
4,utilization_server2,0.740,0.000,0.022,0.041
4,service_server2,2.124,0.019,0.136,0.251
4,share_server2,0.487,0.000,0.021,0.039
8,avgInterarrivals,2.880,15.854,3.982,3.559
8,avgWaits,4.194,0.174,0.417,0.373
8,avgNumNodes,3.051,0.151,0.388,0.347
8,avgDelays,2.177,0.170,0.413,0.369
8,avgNumQueues,1.590,0.119,0.345,0.309
8,utilization_server1,0.732,0.001,0.027,0.024
8,service_server1,1.964,0.006,0.075,0.067
8,share_server1,0.516,0.000,0.014,0.012
8,utilization_server2,0.738,0.001,0.028,0.025
8,service_server2,2.101,0.011,0.106,0.095
8,share_server2,0.487,0.000,0.016,0.014
16,avgInterarrivals,2.114,8.516,2.918,1.606
16,avgWaits,4.113,0.169,0.411,0.226
16,avgNumNodes,3.031,0.145,0.381,0.210
16,avgDelays,2.119,0.147,0.383,0.211
16,avgNumQueues,1.569,0.106,0.325,0.179
16,utilization_server1,0.734,0.001,0.033,0.018
16,service_server1,1.981,0.012,0.111,0.061
16,share_server1,0.507,0.000,0.020,0.011
16,utilization_server2,0.739,0.001,0.035,0.019
16,service_server2,2.043,0.018,0.136,0.075
16,share_server2,0.496,0.000,0.021,0.011
32,avgInterarrivals,1.714,4.419,2.102,0.770
32,avgWaits,4.355,0.508,0.713,0.261
32,avgNumNodes,3.266,0.359,0.599,0.220
32,avgDelays,2.369,0.456,0.675,0.247
32,avgNumQueues,1.784,0.295,0.543,0.199
32,utilization_server1,0.745,0.001,0.036,0.013
32,service_server1,1.986,0.011,0.103,0.038
32,share_server1,0.504,0.000,0.019,0.007
32,utilization_server2,0.749,0.001,0.036,0.013
32,service_server2,2.025,0.017,0.130,0.047
32,share_server2,0.498,0.000,0.019,0.007
64,avgInterarrivals,1.519,2.249,1.500,0.378
64,avgWaits,4.460,0.578,0.760,0.191
64,avgNumNodes,3.365,0.421,0.649,0.163
64,avgDelays,2.478,0.518,0.720,0.181
64,avgNumQueues,1.877,0.345,0.587,0.148
64,utilization_server1,0.747,0.001,0.038,0.010
64,service_server1,1.986,0.010,0.098,0.025
64,share_server1,0.503,0.000,0.017,0.004
64,utilization_server2,0.750,0.001,0.038,0.010
64,service_server2,2.019,0.014,0.117,0.030
64,share_server2,0.497,0.000,0.018,0.005
128,avgInterarrivals,1.428,1.134,1.065,0.187
128,avgWaits,4.477,0.857,0.926,0.163
128,avgNumNodes,3.377,0.616,0.785,0.138
128,avgDelays,2.493,0.784,0.885,0.155
128,avgNumQueues,1.891,0.519,0.720,0.127
128,utilization_server1,0.748,0.002,0.042,0.007
128,service_server1,1.998,0.011,0.105,0.018
128,share_server1,0.502,0.000,0.017,0.003
128,utilization_server2,0.749,0.002,0.042,0.007
128,service_server2,2.012,0.012,0.111,0.019
128,share_server2,0.499,0.000,0.017,0.003
