num. sample,statistic,mean,variance,std dev,w (interval length/2)
2,avgInterarrivals,9.370,54.406,7.376,93.721
2,avgWaits,5.646,0.116,0.341,4.327
2,avgNumNodes,2.761,0.010,0.099,1.264
2,avgDelays,2.697,0.043,0.206,2.621
2,avgNumQueues,1.321,0.004,0.066,0.841
2,utilization_server4,0.772,0.000,0.010,0.124
2,service_server4,2.963,0.006,0.076,0.968
2,share_server4,0.534,0.000,0.004,0.051
2,utilization_server5,0.681,0.001,0.026,0.328
2,service_server5,2.958,0.032,0.180,2.281
2,share_server5,0.472,0.000,0.000,0.006
4,avgInterarrivals,5.696,40.703,6.380,11.722
4,avgWaits,6.739,1.528,1.236,2.271
4,avgNumNodes,3.298,0.313,0.559,1.028
4,avgDelays,3.694,1.249,1.118,2.054
4,avgNumQueues,1.805,0.263,0.513,0.943
4,utilization_server4,0.793,0.001,0.023,0.041
4,service_server4,3.085,0.032,0.179,0.328
4,share_server4,0.526,0.000,0.009,0.017
4,utilization_server5,0.714,0.002,0.043,0.080
4,service_server5,3.028,0.021,0.146,0.269
4,share_server5,0.480,0.000,0.008,0.015
8,avgInterarrivals,3.822,23.865,4.885,4.366
8,avgWaits,6.544,1.025,1.013,0.905
8,avgNumNodes,3.292,0.224,0.474,0.423
8,avgDelays,3.580,0.827,0.910,0.813
8,avgNumQueues,1.806,0.185,0.430,0.385
8,utilization_server4,0.790,0.001,0.023,0.020
8,service_server4,2.976,0.036,0.190,0.170
8,share_server4,0.531,0.000,0.014,0.013
8,utilization_server5,0.708,0.001,0.036,0.032
8,service_server5,2.997,0.022,0.149,0.133
8,share_server5,0.472,0.000,0.016,0.014
16,avgInterarrivals,2.898,12.788,3.576,1.968
16,avgWaits,7.086,2.462,1.569,0.863
16,avgNumNodes,3.575,0.600,0.775,0.426
16,avgDelays,4.108,2.196,1.482,0.816
16,avgNumQueues,2.077,0.534,0.731,0.402
16,utilization_server4,0.795,0.001,0.031,0.017
16,service_server4,3.014,0.032,0.179,0.099
16,share_server4,0.527,0.000,0.015,0.008
16,utilization_server5,0.716,0.002,0.043,0.024
16,service_server5,2.994,0.021,0.146,0.080
16,share_server5,0.475,0.000,0.015,0.008
32,avgInterarrivals,2.449,6.599,2.569,0.941
32,avgWaits,7.001,2.067,1.438,0.527
32,avgNumNodes,3.525,0.593,0.770,0.282
32,avgDelays,4.006,1.920,1.386,0.508
32,avgNumQueues,2.023,0.523,0.723,0.265
32,utilization_server4,0.796,0.001,0.030,0.011
32,service_server4,3.056,0.031,0.176,0.065
32,share_server4,0.524,0.000,0.018,0.006
32,utilization_server5,0.719,0.002,0.040,0.015
32,service_server5,3.005,0.025,0.157,0.057
32,share_server5,0.478,0.000,0.018,0.007
64,avgInterarrivals,2.221,3.355,1.832,0.461
64,avgWaits,7.002,1.863,1.365,0.344
64,avgNumNodes,3.529,0.550,0.742,0.187
64,avgDelays,4.010,1.728,1.315,0.331
64,avgNumQueues,2.029,0.480,0.693,0.174
64,utilization_server4,0.796,0.001,0.032,0.008
64,service_server4,3.043,0.029,0.169,0.043
64,share_server4,0.525,0.000,0.018,0.004
64,utilization_server5,0.717,0.002,0.044,0.011
64,service_server5,3.009,0.023,0.151,0.038
64,share_server5,0.476,0.000,0.018,0.005
128,avgInterarrivals,2.114,1.691,1.300,0.228
128,avgWaits,6.979,2.555,1.598,0.281
128,avgNumNodes,3.505,0.727,0.853,0.150
128,avgDelays,3.985,2.310,1.520,0.267
128,avgNumQueues,2.010,0.626,0.791,0.139
128,utilization_server4,0.795,0.001,0.034,0.006
128,service_server4,3.042,0.031,0.177,0.031
128,share_server4,0.526,0.000,0.019,0.003
128,utilization_server5,0.713,0.003,0.050,0.009
128,service_server5,3.014,0.033,0.181,0.032
128,share_server5,0.474,0.000,0.019,0.003
