num. sample,statistic,mean,variance,std dev,w (interval length/2)
2,avgInterarrivals,11.182,65.614,8.100,102.923
2,avgWaits,2.117,0.000,0.012,0.151
2,avgNumNodes,0.721,0.002,0.043,0.541
2,avgDelays,0.215,0.000,0.000,0.005
2,avgNumQueues,0.074,0.000,0.005,0.063
2,utilization_server1,0.317,0.000,0.014,0.178
2,service_server1,1.833,0.003,0.053,0.673
2,share_server1,0.508,0.000,0.010,0.126
2,utilization_server2,0.334,0.001,0.024,0.310
2,service_server2,2.048,0.007,0.084,1.069
2,share_server2,0.477,0.000,0.008,0.100
4,avgInterarrivals,7.114,49.351,7.025,12.908
4,avgWaits,2.251,0.035,0.186,0.342
4,avgNumNodes,0.751,0.004,0.060,0.110
4,avgDelays,0.223,0.002,0.040,0.073
4,avgNumQueues,0.076,0.000,0.013,0.024
4,utilization_server1,0.333,0.000,0.020,0.037
4,service_server1,1.968,0.020,0.142,0.260
4,share_server1,0.509,0.000,0.017,0.031
4,utilization_server2,0.348,0.001,0.032,0.059
4,service_server2,2.146,0.071,0.266,0.489
4,share_server2,0.486,0.000,0.021,0.038
8,avgInterarrivals,5.093,28.778,5.364,4.794
8,avgWaits,2.284,0.025,0.158,0.142
8,avgNumNodes,0.754,0.005,0.068,0.060
8,avgDelays,0.236,0.004,0.061,0.054
8,avgNumQueues,0.080,0.000,0.022,0.020
8,utilization_server1,0.340,0.001,0.023,0.021
8,service_server1,2.070,0.040,0.199,0.178
8,share_server1,0.502,0.000,0.016,0.014
8,utilization_server2,0.339,0.001,0.036,0.032
8,service_server2,2.094,0.057,0.238,0.212
8,share_server2,0.493,0.000,0.020,0.018
16,avgInterarrivals,4.066,15.472,3.933,2.165
16,avgWaits,2.261,0.029,0.171,0.094
16,avgNumNodes,0.747,0.007,0.085,0.047
16,avgDelays,0.247,0.008,0.088,0.049
16,avgNumQueues,0.083,0.001,0.033,0.018
16,utilization_server1,0.337,0.001,0.029,0.016
16,service_server1,2.065,0.030,0.174,0.096
16,share_server1,0.498,0.000,0.015,0.008
16,utilization_server2,0.332,0.001,0.036,0.020
16,service_server2,2.015,0.039,0.197,0.108
16,share_server2,0.500,0.000,0.018,0.010
32,avgInterarrivals,3.532,8.040,2.836,1.039
32,avgWaits,2.241,0.044,0.211,0.077
32,avgNumNodes,0.744,0.008,0.089,0.032
32,avgDelays,0.255,0.012,0.110,0.040
32,avgNumQueues,0.086,0.002,0.040,0.014
32,utilization_server1,0.334,0.001,0.031,0.011
32,service_server1,2.027,0.027,0.163,0.060
32,share_server1,0.499,0.000,0.017,0.006
32,utilization_server2,0.329,0.001,0.033,0.012
32,service_server2,1.989,0.040,0.199,0.073
32,share_server2,0.500,0.000,0.018,0.007
64,avgInterarrivals,3.240,4.124,2.031,0.511
64,avgWaits,2.246,0.041,0.202,0.051
64,avgNumNodes,0.755,0.008,0.090,0.023
64,avgDelays,0.266,0.011,0.107,0.027
64,avgNumQueues,0.092,0.002,0.040,0.010
64,utilization_server1,0.335,0.001,0.032,0.008
64,service_server1,2.012,0.027,0.164,0.041
64,share_server1,0.498,0.000,0.016,0.004
64,utilization_server2,0.333,0.001,0.032,0.008
64,service_server2,1.984,0.032,0.179,0.045
64,share_server2,0.501,0.000,0.017,0.004
128,avgInterarrivals,3.108,2.097,1.448,0.254
128,avgWaits,2.240,0.037,0.192,0.034
128,avgNumNodes,0.754,0.008,0.089,0.016
128,avgDelays,0.266,0.014,0.118,0.021
128,avgNumQueues,0.092,0.002,0.043,0.008
128,utilization_server1,0.334,0.001,0.030,0.005
128,service_server1,1.995,0.021,0.146,0.026
128,share_server1,0.500,0.000,0.014,0.003
128,utilization_server2,0.333,0.001,0.032,0.006
128,service_server2,1.989,0.025,0.159,0.028
128,share_server2,0.500,0.000,0.015,0.003
