num. sample,statistic,mean,variance,std dev,interval length
2,avgInterarrivals,5.843,0.539,0.734,0.000
2,avgWaits,2.032,0.019,0.137,0.000
2,avgNumNodes,0.001,0.000,0.000,0.000
2,avgDelays,0.054,0.002,0.049,0.000
2,avgNumQueues,0.000,0.000,0.000,0.000
4,avgInterarrivals,5.986,0.355,0.596,0.000
4,avgWaits,2.214,0.046,0.214,0.000
4,avgNumNodes,0.001,0.000,0.000,0.000
4,avgDelays,0.055,0.001,0.037,0.000
4,avgNumQueues,0.000,0.000,0.000,0.000
8,avgInterarrivals,5.983,0.218,0.467,0.000
8,avgWaits,2.133,0.046,0.215,0.000
8,avgNumNodes,0.000,0.000,0.000,0.000
8,avgDelays,0.050,0.001,0.035,0.000
8,avgNumQueues,0.000,0.000,0.000,0.000
16,avgInterarrivals,5.945,0.150,0.388,0.000
16,avgWaits,2.132,0.033,0.181,0.000
16,avgNumNodes,0.000,0.000,0.000,0.000
16,avgDelays,0.054,0.001,0.034,0.000
16,avgNumQueues,0.000,0.000,0.000,0.000
32,avgInterarrivals,5.966,0.170,0.413,0.000
32,avgWaits,2.118,0.043,0.208,0.000
32,avgNumNodes,0.000,0.000,0.000,0.000
32,avgDelays,0.051,0.001,0.031,0.000
32,avgNumQueues,0.000,0.000,0.000,0.000
64,avgInterarrivals,5.869,0.188,0.433,0.000
64,avgWaits,2.073,0.036,0.189,0.000
64,avgNumNodes,0.000,0.000,0.000,0.000
64,avgDelays,0.051,0.001,0.036,0.000
64,avgNumQueues,0.000,0.000,0.000,0.000
128,avgInterarrivals,5.904,0.205,0.453,0.000
128,avgWaits,2.053,0.030,0.174,0.000
128,avgNumNodes,0.000,0.000,0.000,0.000
128,avgDelays,0.052,0.002,0.040,0.000
128,avgNumQueues,0.000,0.000,0.000,0.000
