day,# job completati, # job B completati, # job P completati,#job B nel nodo, # job P nel nodo, # coda B, #coda P,last arrival B [H], last arrival P [H], area B, area P, revenue B, revenue P, revenue, costs, daily revenue, incremental grass revenue, incremental revenue, incremental costs
1,135,116,19,0,1,0,0,21.62,21.70,225.27,64.88,464.00,133.00,597.00,716.51,-119.51,597.00,-119.51,716.51
2,163,146,17,0,1,0,0,21.15,21.16,494.46,106.39,584.00,119.00,703.00,792.83,-89.83,1300.00,-209.33,1509.33
3,184,169,15,0,0,0,0,20.12,20.11,813.28,154.47,676.00,105.00,781.00,848.99,-67.99,2081.00,-277.32,2358.32
4,224,192,32,2,0,0,0,21.51,21.20,1219.09,247.09,768.00,224.00,992.00,1000.91,-8.91,3073.00,-286.23,3359.23
5,243,226,17,1,3,0,1,20.53,20.49,1675.34,316.32,904.00,119.00,1023.00,1023.23,-0.23,4096.00,-286.45,4382.45
6,405,359,46,0,1,0,0,20.09,20.18,2432.40,594.91,1436.00,322.00,1758.00,1552.43,205.57,5854.00,-80.88,5934.88
7,290,248,42,0,1,0,0,20.23,20.27,2982.08,763.71,992.00,294.00,1286.00,1212.59,73.41,7140.00,-7.47,7147.47
8,210,181,29,1,0,0,0,21.41,21.32,3315.14,866.46,724.00,203.00,927.00,954.11,-27.11,8067.00,-34.57,8101.57
9,168,158,10,0,0,0,0,20.40,20.27,3649.60,899.36,632.00,70.00,702.00,792.11,-90.11,8769.00,-124.68,8893.68
10,221,196,25,0,0,0,0,20.98,20.92,4051.15,974.20,784.00,175.00,959.00,977.15,-18.15,9728.00,-142.83,9870.83
11,202,180,22,0,0,0,0,21.61,21.46,4406.48,1050.00,720.00,154.00,874.00,915.95,-41.95,10602.00,-184.77,10786.77
12,224,217,7,0,1,0,0,20.01,20.25,4811.49,1066.42,868.00,49.00,917.00,946.91,-29.91,11519.00,-214.68,11733.68
13,408,339,69,0,4,0,2,20.39,20.41,5510.08,1490.01,1356.00,483.00,1839.00,1610.75,228.25,13358.00,13.57,13344.43
14,321,255,66,0,1,0,0,21.08,21.11,6060.21,1782.70,1020.00,462.00,1482.00,1353.71,128.29,14840.00,141.87,14698.13
15,203,186,17,0,1,0,0,21.35,21.48,6431.00,1823.88,744.00,119.00,863.00,908.03,-45.03,15703.00,96.84,15606.16
16,164,157,7,0,0,0,0,20.52,20.56,6723.33,1841.53,628.00,49.00,677.00,774.11,-97.11,16380.00,-0.27,16380.27
17,202,184,18,0,0,0,0,21.15,21.15,7061.64,1896.96,736.00,126.00,862.00,907.31,-45.31,17242.00,-45.57,17287.57
18,186,172,14,0,0,0,0,20.63,20.55,7405.24,1934.05,688.00,98.00,786.00,852.59,-66.59,18028.00,-112.16,18140.16
19,299,254,45,0,2,0,0,21.13,21.23,7916.58,2215.95,1016.00,315.00,1331.00,1244.99,86.01,19359.00,-26.15,19385.15
20,426,361,65,0,2,0,0,21.51,21.66,8634.47,2441.36,1444.00,455.00,1899.00,1653.95,245.05,21258.00,218.91,21039.09
21,288,261,27,1,0,0,0,21.96,21.93,9183.55,2528.22,1044.00,189.00,1233.00,1174.43,58.57,22491.00,277.48,22213.52
22,186,161,25,1,0,0,0,21.71,21.77,9534.93,2598.24,644.00,175.00,819.00,876.35,-57.35,23310.00,220.13,23089.87
23,208,190,18,1,0,0,0,21.52,21.51,9912.35,2664.76,760.00,126.00,886.00,924.59,-38.59,24196.00,181.55,24014.45
24,195,186,9,1,0,0,0,20.99,20.69,10253.65,2679.04,744.00,63.00,807.00,867.71,-60.71,25003.00,120.84,24882.16
25,172,166,6,0,0,0,0,20.03,21.88,10566.37,2694.28,664.00,42.00,706.00,794.99,-88.99,25709.00,31.85,25677.15
26,357,283,74,1,3,0,1,21.76,21.76,11161.19,2927.84,1132.00,518.00,1650.00,1474.67,175.33,27359.00,207.19,27151.81
27,320,299,21,0,2,0,0,20.39,20.44,11762.22,3013.75,1196.00,147.00,1343.00,1253.63,89.37,28702.00,296.56,28405.44
28,343,280,63,1,1,0,0,21.38,21.48,12357.45,3399.75,1120.00,441.00,1561.00,1410.59,150.41,30263.00,446.97,29816.03
29,192,183,9,1,1,0,0,20.01,20.02,12752.65,3442.29,732.00,63.00,795.00,859.07,-64.07,31058.00,382.91,30675.09
30,195,169,26,0,0,0,0,19.87,21.99,13089.81,3528.77,676.00,182.00,858.00,904.43,-46.43,31916.00,336.48,31579.52
31,199,170,29,0,0,0,0,20.72,20.76,13421.88,3611.91,680.00,203.00,883.00,922.43,-39.43,32799.00,297.05,32501.95
32,184,165,19,1,0,0,0,20.37,20.37,13729.18,3664.13,660.00,133.00,793.00,857.63,-64.63,33592.00,232.43,33359.57
33,301,268,33,0,1,0,0,20.53,20.54,14245.48,3779.26,1072.00,231.00,1303.00,1224.83,78.17,34895.00,310.60,34584.40
34,430,344,86,2,2,0,0,21.40,21.39,15010.99,4237.89,1376.00,602.00,1978.00,1710.83,267.17,36873.00,577.77,36295.23
35,300,263,37,1,1,0,0,21.74,21.72,15520.10,4386.51,1052.00,259.00,1311.00,1230.59,80.41,38184.00,658.19,37525.81
36,158,150,8,0,0,0,0,19.93,21.97,15833.52,4415.89,600.00,56.00,656.00,758.99,-102.99,38840.00,555.20,38284.80
37,193,169,24,0,0,0,0,20.31,20.29,16144.96,4490.57,676.00,168.00,844.00,894.35,-50.35,39684.00,504.85,39179.15
38,219,196,23,1,0,0,0,21.26,20.69,16507.79,4575.28,784.00,161.00,945.00,967.07,-22.07,40629.00,482.79,40146.21
39,213,180,33,1,0,0,0,21.50,21.43,16886.43,4691.50,720.00,231.00,951.00,971.39,-20.39,41580.00,462.40,41117.60
40,318,257,61,1,0,0,0,21.92,21.93,17363.38,4871.22,1028.00,427.00,1455.00,1334.27,120.73,43035.00,583.13,42451.87
41,388,334,54,0,5,0,3,21.84,21.90,18049.79,5055.75,1336.00,378.00,1714.00,1520.75,193.25,44749.00,776.39,43972.61
42,268,247,21,0,0,0,0,21.34,21.36,18567.04,5116.80,988.00,147.00,1135.00,1103.87,31.13,45884.00,807.52,45076.48
43,183,169,14,0,0,0,0,20.75,20.66,18867.64,5133.03,676.00,98.00,774.00,843.95,-69.95,46658.00,737.57,45920.43
44,219,190,29,1,3,0,1,20.93,20.96,19226.55,5264.15,760.00,203.00,963.00,980.03,-17.03,47621.00,720.55,46900.45
45,201,189,12,1,1,0,0,20.21,20.23,19613.05,5303.25,756.00,84.00,840.00,891.47,-51.47,48461.00,669.08,47791.92
46,200,179,21,0,2,0,0,20.15,20.13,19918.62,5368.46,716.00,147.00,863.00,908.03,-45.03,49324.00,624.05,48699.95
47,305,259,46,1,0,0,0,20.67,20.68,20503.79,5473.45,1036.00,322.00,1358.00,1264.43,93.57,50682.00,717.63,49964.37
48,399,310,89,0,1,0,0,20.98,21.27,21108.49,5943.56,1240.00,623.00,1863.00,1628.03,234.97,52545.00,952.60,51592.40
49,253,229,24,1,0,0,0,21.45,21.38,21566.86,6022.82,916.00,168.00,1084.00,1067.15,16.85,53629.00,969.45,52659.55
50,152,150,2,0,1,0,0,20.09,20.09,21812.18,6033.89,600.00,14.00,614.00,728.75,-114.75,54243.00,854.71,53388.29
51,188,164,24,2,0,0,0,20.74,20.67,22162.26,6115.58,656.00,168.00,824.00,879.95,-55.95,55067.00,798.76,54268.24
52,203,173,30,1,2,0,0,21.94,21.93,22508.37,6214.89,692.00,210.00,902.00,936.11,-34.11,55969.00,764.65,55204.35
53,165,157,8,1,0,0,0,20.39,20.30,22804.19,6230.96,628.00,56.00,684.00,779.15,-95.15,56653.00,669.51,55983.49
54,259,240,19,1,0,0,0,19.97,21.94,23289.04,6287.11,960.00,133.00,1093.00,1073.63,19.37,57746.00,688.88,57057.12
55,394,320,74,1,3,0,1,20.22,20.25,23888.75,6610.08,1280.00,518.00,1798.00,1581.23,216.77,59544.00,905.65,58638.35
56,314,251,63,1,0,0,0,20.43,20.43,24362.53,7135.30,1004.00,441.00,1445.00,1327.07,117.93,60989.00,1023.59,59965.41
57,205,176,29,0,1,0,0,21.61,21.66,24722.35,7206.85,704.00,203.00,907.00,939.71,-32.71,61896.00,990.88,60905.12
58,152,148,4,1,1,0,0,20.02,20.08,25052.71,7215.34,592.00,28.00,620.00,733.07,-113.07,62516.00,877.81,61638.19
59,237,206,31,0,1,0,0,20.78,20.79,25530.21,7312.43,824.00,217.00,1041.00,1036.19,4.81,63557.00,882.63,62674.37
60,168,156,12,0,0,0,0,19.92,21.71,25838.03,7347.23,624.00,84.00,708.00,796.43,-88.43,64265.00,794.20,63470.80
61,270,234,36,0,2,0,0,20.58,20.63,26311.84,7505.45,936.00,252.00,1188.00,1142.03,45.97,65453.00,840.17,64612.83
62,448,363,85,0,1,0,0,21.69,21.78,27159.26,7848.18,1452.00,595.00,2047.00,1760.51,286.49,67500.00,1126.67,66373.33
63,253,238,15,2,0,0,0,21.03,20.98,27630.64,7896.98,952.00,105.00,1057.00,1047.71,9.29,68557.00,1135.96,67421.04
64,198,178,20,1,0,0,0,21.30,21.23,27945.08,7966.43,712.00,140.00,852.00,900.11,-48.11,69409.00,1087.85,68321.15
